[[1075   95]] , [[1075   96]]
[[313 351]] , [[313 355]]
[[606 115]] , [[606 119]]
[[881 116]] , [[881 120]]
[[ 32 357]] , [[ 32 361]]
[[670 117]] , [[670 121]]
[[141 356]] , [[141 360]]
[[813 119]] , [[812 120]]
[[1044  121]] , [[1044  125]]
[[ 50 308]] , [[ 50 312]]
[[1013  120]] , [[1012  121]]
[[1073   99]] , [[1073  103]]
[[877 119]] , [[877 123]]
[[877 119]] , [[877 123]]
[[908 119]] , [[908 123]]
[[ 19 358]] , [[ 19 362]]
[[121 462]] , [[121 466]]
[[955 121]] , [[954 122]]
[[1075   95]] , [[1075   96]]
[[  0 358]] , [[  0 362]]
[[  0 358]] , [[  0 362]]
[[970 121]] , [[970 125]]
[[622 120]] , [[622 124]]
[[173 357]] , [[173 361]]
[[960 115]] , [[960 119]]
[[195 487]] , [[195 488]]
[[ 11 358]] , [[ 11 362]]
[[810 121]] , [[810 125]]
[[ 46 359]] , [[ 46 363]]
[[817 119]] , [[815 121]]
[[181 358]] , [[181 362]]
[[621 119]] , [[620 120]]
[[109 358]] , [[109 362]]
[[748 119]] , [[748 123]]
[[909 119]] , [[909 123]]
[[208 458]] , [[208 462]]
[[925 117]] , [[925 121]]
[[268 550]] , [[267 551]]
[[510 590]] , [[510 594]]
[[193 456]] , [[193 457]]
[[ 30 309]] , [[ 30 313]]
[[  0 351]] , [[  0 355]]
[[444 454]] , [[444 458]]
[[894 119]] , [[894 123]]
[[890 119]] , [[890 123]]
[[155 459]] , [[154 460]]
[[267 351]] , [[267 355]]
[[573 550]] , [[573 554]]
[[869 119]] , [[869 123]]
[[146 487]] , [[146 491]]
[[282 485]] , [[282 489]]
[[384 355]] , [[384 359]]
[[ 82 304]] , [[ 82 308]]
[[1059  115]] , [[1059  119]]
[[933 121]] , [[933 125]]
[[186 357]] , [[186 361]]
[[1061  113]] , [[1061  116]]
[[160 458]] , [[160 462]]
[[749 119]] , [[749 123]]
[[758 119]] , [[758 123]]
[[908 119]] , [[908 123]]
[[869 119]] , [[869 123]]
[[802 119]] , [[802 123]]
[[974 121]] , [[974 125]]
[[127 462]] , [[127 466]]
[[304 489]] , [[304 493]]
[[541 489]] , [[541 493]]
[[473 454]] , [[473 458]]
[[890 121]] , [[890 125]]
[[861 121]] , [[861 125]]
[[150 358]] , [[149 359]]
[[744 121]] , [[744 125]]
[[695 487]] , [[695 491]]
[[241 487]] , [[241 491]]
[[292 552]] , [[291 553]]
[[171 462]] , [[171 466]]
[[814 121]] , [[814 125]]
[[117 462]] , [[117 466]]
[[686 460]] , [[686 464]]
[[607 460]] , [[607 464]]
[[1071  103]] , [[1071  107]]
[[1007  121]] , [[1007  125]]
[[110 486]] , [[109 487]]
[[143 359]] , [[143 363]]
[[668 489]] , [[668 493]]
[[733 119]] , [[733 123]]
[[ 62 355]] , [[ 62 359]]
[[1067  109]] , [[1067  110]]
