[[ 611 1248]] , [[ 612 1247]]
[[ 192 1134]] , [[ 192 1149]]
[[ 412 1130]] , [[ 412 1135]]
[[ 408 1090]] , [[ 408 1115]]
[[ 192 1134]] , [[ 192 1147]]
[[ 270 1170]] , [[ 270 1171]]
[[ 336 1168]] , [[ 334 1170]]
[[ 260 1170]] , [[ 260 1171]]
[[ 577 1188]] , [[ 578 1187]]
[[ 192 1024]] , [[ 192 1031]]
[[ 745 1008]] , [[ 745 1013]]
[[184 926]] , [[184 929]]
[[662 835]] , [[661 836]]
[[424 834]] , [[424 835]]
[[192 450]] , [[192 454]]
[[210 490]] , [[210 494]]
[[192 450]] , [[192 454]]
[[258 504]] , [[258 513]]
[[268 518]] , [[268 523]]
[[268 518]] , [[268 523]]
[[246 539]] , [[246 545]]
[[248 548]] , [[248 552]]
[[277 578]] , [[275 580]]
[[218 490]] , [[218 494]]
[[188 452]] , [[188 457]]
[[250 543]] , [[250 547]]
[[256 546]] , [[256 547]]
[[265 586]] , [[264 587]]
[[182 452]] , [[182 457]]
[[137 360]] , [[137 364]]
[[186 452]] , [[186 457]]
[[258 588]] , [[258 592]]
[[266 588]] , [[266 595]]
[[291 578]] , [[291 582]]
[[258 588]] , [[258 592]]
[[180 455]] , [[180 459]]
[[290 576]] , [[290 580]]
[[394 836]] , [[394 849]]
[[307 590]] , [[307 594]]
[[192 452]] , [[192 456]]
[[142 362]] , [[142 366]]
[[252 548]] , [[252 549]]
[[292 578]] , [[292 582]]
[[145 366]] , [[145 370]]
[[291 580]] , [[291 584]]
[[312 591]] , [[312 593]]
[[312 591]] , [[311 592]]
[[242 496]] , [[242 503]]
[[144 362]] , [[144 366]]
[[308 588]] , [[308 589]]
[[144 362]] , [[144 369]]
[[182 454]] , [[182 459]]
[[182 454]] , [[182 459]]
[[144 362]] , [[144 369]]
[[280 584]] , [[280 591]]
[[182 452]] , [[182 459]]
[[306 590]] , [[306 594]]
[[880 638]] , [[880 642]]
[[880 638]] , [[880 642]]
[[206 586]] , [[206 591]]
[[276 588]] , [[276 593]]
[[144 362]] , [[144 369]]
[[254 544]] , [[254 549]]
[[417 593]] , [[416 594]]
[[264 589]] , [[264 595]]
[[264 589]] , [[264 595]]
[[300 588]] , [[300 592]]
[[300 588]] , [[300 592]]
[[300 588]] , [[300 592]]
[[190 592]] , [[190 597]]
[[312 588]] , [[312 593]]
[[246 550]] , [[246 555]]
[[244 550]] , [[244 555]]
[[181 454]] , [[180 455]]
[[144 362]] , [[144 368]]
[[248 550]] , [[248 555]]
[[248 550]] , [[248 555]]
[[268 588]] , [[267 589]]
[[204 584]] , [[204 591]]
[[258 549]] , [[257 550]]
[[180 455]] , [[180 459]]
[[244 550]] , [[244 555]]
[[188 454]] , [[188 458]]
[[176 588]] , [[176 598]]
[[269 586]] , [[267 588]]
[[276 588]] , [[276 593]]
[[412 594]] , [[412 595]]
[[396 595]] , [[396 599]]
[[325 601]] , [[325 605]]
[[392 601]] , [[392 605]]
[[236 601]] , [[236 606]]
[[236 602]] , [[236 607]]
[[443 601]] , [[443 605]]
[[172 603]] , [[172 607]]
[[396 595]] , [[396 599]]
[[396 595]] , [[396 599]]
[[196 588]] , [[196 597]]
[[397 600]] , [[398 599]]
[[286 595]] , [[286 603]]
[[422 595]] , [[421 596]]
[[252 588]] , [[251 589]]
[[252 548]] , [[252 554]]
[[144 362]] , [[144 366]]
[[141 362]] , [[141 366]]
[[310 590]] , [[310 591]]
[[366 832]] , [[366 833]]
[[140 364]] , [[140 368]]
[[192 454]] , [[192 455]]
[[188 456]] , [[188 460]]
[[188 456]] , [[188 461]]
[[387 854]] , [[388 853]]
[[387 854]] , [[388 853]]
[[387 854]] , [[388 853]]
[[630 835]] , [[630 839]]
[[262 552]] , [[262 557]]
[[252 545]] , [[252 549]]
[[188 456]] , [[188 461]]
[[192 456]] , [[192 460]]
[[196 454]] , [[196 455]]
[[185 460]] , [[184 461]]
[[430 594]] , [[430 598]]
[[194 446]] , [[194 447]]
[[290 574]] , [[290 579]]
[[310 572]] , [[310 577]]
[[392 574]] , [[392 575]]
[[398 574]] , [[397 575]]
[[277 568]] , [[277 573]]
[[403 585]] , [[404 584]]
[[298 592]] , [[298 596]]
[[298 576]] , [[298 585]]
[[288 586]] , [[288 589]]
[[298 576]] , [[298 581]]
[[410 574]] , [[409 575]]
[[188 446]] , [[187 447]]
[[289 568]] , [[288 569]]
[[431 572]] , [[430 573]]
[[432 573]] , [[431 574]]
[[307 584]] , [[308 583]]
[[288 568]] , [[288 573]]
[[280 578]] , [[280 581]]
[[429 574]] , [[428 575]]
[[222 484]] , [[222 488]]
[[256 580]] , [[256 583]]
[[417 593]] , [[418 592]]
[[443 571]] , [[442 572]]
[[259 580]] , [[258 581]]
[[194 574]] , [[194 579]]
[[316 581]] , [[316 583]]
[[185 446]] , [[184 447]]
[[185 446]] , [[184 447]]
[[312 581]] , [[312 585]]
[[180 582]] , [[180 589]]
[[316 582]] , [[316 583]]
[[288 572]] , [[288 577]]
[[172 580]] , [[172 581]]
[[433 586]] , [[434 585]]
[[286 574]] , [[286 579]]
[[124 576]] , [[124 581]]
[[432 579]] , [[432 581]]
[[433 586]] , [[434 585]]
[[433 586]] , [[434 585]]
[[150 578]] , [[150 582]]
[[234 593]] , [[234 597]]
[[840 594]] , [[840 598]]
[[412 581]] , [[412 583]]
[[182 586]] , [[182 595]]
[[869 621]] , [[869 625]]
[[178 578]] , [[178 583]]
[[288 574]] , [[287 575]]
[[152 571]] , [[152 575]]
[[258 544]] , [[258 550]]
[[409 586]] , [[410 585]]
[[260 585]] , [[259 586]]
[[150 580]] , [[150 585]]
[[242 596]] , [[242 601]]
[[436 578]] , [[435 579]]
[[150 580]] , [[150 585]]
[[280 576]] , [[280 581]]
[[280 576]] , [[280 581]]
[[247 595]] , [[248 594]]
[[280 576]] , [[280 581]]
[[247 595]] , [[248 594]]
[[414 580]] , [[414 581]]
[[373 595]] , [[373 599]]
[[379 588]] , [[379 592]]
[[412 582]] , [[412 583]]
[[172 588]] , [[172 595]]
[[160 591]] , [[160 595]]
[[314 588]] , [[314 589]]
[[288 580]] , [[288 585]]
[[199 460]] , [[199 464]]
[[300 598]] , [[300 609]]
[[182 594]] , [[182 601]]
[[889 622]] , [[887 624]]
[[310 600]] , [[310 605]]
[[148 601]] , [[148 605]]
[[244 552]] , [[244 557]]
[[188 584]] , [[188 593]]
[[406 588]] , [[405 589]]
[[258 590]] , [[258 591]]
[[882 598]] , [[882 603]]
[[256 588]] , [[256 589]]
[[402 584]] , [[401 585]]
[[444 588]] , [[444 589]]
[[158 590]] , [[158 598]]
[[158 590]] , [[158 598]]
[[174 590]] , [[174 595]]
[[262 588]] , [[262 589]]
[[442 588]] , [[442 593]]
[[442 588]] , [[442 589]]
[[288 592]] , [[288 593]]
[[314 588]] , [[314 601]]
[[413 583]] , [[412 584]]
[[258 588]] , [[257 589]]
[[282 584]] , [[282 595]]
[[435 586]] , [[435 590]]
[[267 592]] , [[268 591]]
[[440 588]] , [[440 589]]
[[208 588]] , [[208 593]]
[[277 594]] , [[278 593]]
[[208 588]] , [[208 593]]
[[341 842]] , [[342 841]]
[[208 588]] , [[208 593]]
[[307 594]] , [[308 593]]
[[307 594]] , [[308 593]]
[[412 584]] , [[412 585]]
[[250 588]] , [[250 589]]
[[309 594]] , [[310 593]]
[[382 603]] , [[382 607]]
[[264 592]] , [[264 595]]
[[299 588]] , [[299 592]]
[[412 584]] , [[412 585]]
[[240 596]] , [[240 600]]
[[440 592]] , [[440 596]]
[[188 454]] , [[188 459]]
[[301 590]] , [[301 596]]
[[242 546]] , [[242 557]]
[[242 546]] , [[242 557]]
