[[289  47]] , [[290  46]]
[[831 530]] , [[832 529]]
[[454 512]] , [[454 520]]
[[831 528]] , [[832 527]]
[[446 510]] , [[446 521]]
[[837 570]] , [[838 569]]
[[736 158]] , [[736 165]]
[[730 256]] , [[730 260]]
[[785 514]] , [[784 515]]
[[803 514]] , [[801 516]]
[[376 514]] , [[376 521]]
[[376 514]] , [[376 521]]
[[665 528]] , [[666 527]]
[[752 514]] , [[752 515]]
[[376 514]] , [[376 521]]
[[376 514]] , [[376 521]]
[[838 520]] , [[838 529]]
[[838 520]] , [[838 529]]
[[841 570]] , [[842 569]]
[[376 514]] , [[376 521]]
[[819 524]] , [[820 523]]
[[752 514]] , [[752 515]]
[[494 516]] , [[494 525]]
[[802 514]] , [[802 515]]
[[650 632]] , [[650 635]]
[[476 526]] , [[476 531]]
[[478 524]] , [[478 525]]
[[496 516]] , [[496 525]]
[[756 514]] , [[755 515]]
[[807 514]] , [[805 516]]
[[835 620]] , [[836 619]]
[[825 524]] , [[826 523]]
[[806 514]] , [[806 515]]
[[490 518]] , [[490 523]]
[[502 514]] , [[502 519]]
[[452 512]] , [[452 521]]
[[376 514]] , [[374 516]]
[[478 514]] , [[478 525]]
[[836 519]] , [[836 531]]
[[750 514]] , [[750 515]]
[[829 522]] , [[830 521]]
[[829 522]] , [[830 521]]
[[376 514]] , [[374 516]]
[[480 514]] , [[480 517]]
[[376 514]] , [[374 516]]
[[288 560]] , [[289 559]]
[[835 544]] , [[836 543]]
[[814 514]] , [[813 515]]
[[494 514]] , [[494 517]]
[[470 518]] , [[470 525]]
[[494 514]] , [[494 517]]
[[841 566]] , [[842 565]]
[[841 566]] , [[842 565]]
[[452 514]] , [[452 521]]
[[744 514]] , [[744 515]]
[[851 580]] , [[852 579]]
[[811 514]] , [[810 515]]
[[502 516]] , [[502 524]]
[[812 514]] , [[812 517]]
[[843 578]] , [[844 577]]
[[811 520]] , [[812 519]]
[[843 576]] , [[844 575]]
[[754 514]] , [[754 515]]
[[754 514]] , [[754 515]]
[[376 516]] , [[376 522]]
[[286 550]] , [[286 551]]
[[475 534]] , [[473 536]]
[[522 528]] , [[522 533]]
[[839 566]] , [[840 565]]
[[304 538]] , [[304 539]]
[[504 516]] , [[504 524]]
[[841 576]] , [[842 575]]
[[304 538]] , [[304 539]]
[[832 516]] , [[832 521]]
[[832 517]] , [[832 521]]
[[832 517]] , [[832 523]]
[[754 514]] , [[754 515]]
[[504 516]] , [[504 525]]
[[376 514]] , [[376 517]]
[[376 514]] , [[376 517]]
[[752 161]] , [[752 165]]
[[474 518]] , [[474 519]]
[[836 520]] , [[836 525]]
[[752 514]] , [[752 515]]
[[522 528]] , [[522 533]]
[[836 520]] , [[836 525]]
[[839 574]] , [[840 573]]
[[504 516]] , [[504 524]]
[[754 514]] , [[754 515]]
[[302 538]] , [[302 541]]
[[843 546]] , [[844 545]]
[[518 520]] , [[518 525]]
[[736 160]] , [[736 167]]
[[730 130]] , [[730 134]]
[[376 514]] , [[376 523]]
[[688 256]] , [[688 262]]
[[758 514]] , [[758 515]]
[[306 544]] , [[306 551]]
[[378 514]] , [[378 515]]
[[486 514]] , [[486 515]]
[[758 514]] , [[758 515]]
[[486 514]] , [[486 515]]
[[803 532]] , [[804 531]]
[[803 532]] , [[804 531]]
[[288 518]] , [[288 523]]
[[471 545]] , [[472 544]]
[[769 148]] , [[769 153]]
[[672 258]] , [[672 262]]
[[488 514]] , [[488 517]]
[[696 167]] , [[696 171]]
[[687 258]] , [[687 262]]
[[659 530]] , [[660 529]]
[[671 258]] , [[671 262]]
[[480 534]] , [[480 535]]
[[756 514]] , [[756 515]]
[[486 514]] , [[486 519]]
[[502 518]] , [[502 523]]
[[658 838]] , [[658 847]]
[[650 628]] , [[650 631]]
[[838 784]] , [[838 792]]
[[838 624]] , [[838 657]]
[[288 634]] , [[288 641]]
[[304 534]] , [[304 535]]
[[296 693]] , [[296 701]]
[[466 616]] , [[466 621]]
[[836 624]] , [[836 625]]
[[304 536]] , [[304 543]]
[[650 636]] , [[650 637]]
[[526 520]] , [[526 525]]
[[468 624]] , [[468 629]]
[[304 536]] , [[304 543]]
[[294 710]] , [[293 711]]
[[292 686]] , [[292 687]]
[[304 742]] , [[304 749]]
[[468 768]] , [[468 777]]
[[838 618]] , [[838 621]]
[[838 618]] , [[838 621]]
[[326 740]] , [[326 743]]
[[305 540]] , [[305 541]]
[[670 719]] , [[670 723]]
[[290 686]] , [[290 691]]
[[650 622]] , [[650 631]]
[[842 618]] , [[842 619]]
[[290 686]] , [[290 691]]
[[294 670]] , [[294 675]]
[[464 646]] , [[464 673]]
[[466 624]] , [[466 633]]
[[326 740]] , [[326 741]]
[[290 590]] , [[290 599]]
[[654 624]] , [[654 627]]
[[849 552]] , [[849 553]]
[[842 618]] , [[842 619]]
[[294 580]] , [[294 589]]
[[296 694]] , [[296 703]]
[[848 563]] , [[848 565]]
[[654 760]] , [[654 767]]
[[778 536]] , [[778 541]]
[[294 672]] , [[294 677]]
[[658 764]] , [[658 765]]
[[292 678]] , [[292 705]]
[[470 642]] , [[470 648]]
[[658 616]] , [[658 619]]
[[482 529]] , [[482 533]]
[[456 526]] , [[456 527]]
[[847 563]] , [[846 564]]
[[852 558]] , [[852 559]]
[[379 515]] , [[378 516]]
[[650 630]] , [[650 632]]
[[290 672]] , [[290 685]]
[[310 534]] , [[310 537]]
[[502 518]] , [[502 523]]
[[514 516]] , [[514 517]]
[[665 530]] , [[666 529]]
[[379 514]] , [[378 515]]
[[310 534]] , [[310 537]]
[[468 640]] , [[468 644]]
[[758 514]] , [[758 515]]
[[486 514]] , [[486 517]]
[[688 258]] , [[688 263]]
[[718 161]] , [[718 165]]
[[472 512]] , [[472 517]]
[[828 517]] , [[828 525]]
[[752 514]] , [[752 515]]
[[827 528]] , [[828 527]]
[[826 542]] , [[826 547]]
[[484 514]] , [[484 517]]
[[502 514]] , [[501 515]]
[[486 514]] , [[486 517]]
[[652 664]] , [[652 665]]
[[500 520]] , [[500 525]]
[[810 514]] , [[810 517]]
[[464 724]] , [[464 733]]
