[[1075   98]] , [[1074   99]]
[[215 485]] , [[215 489]]
[[374 575]] , [[374 579]]
[[814 484]] , [[813 485]]
[[495 354]] , [[495 358]]
[[ 78 464]] , [[ 77 465]]
[[367 453]] , [[366 454]]
[[157 460]] , [[157 464]]
[[797 117]] , [[796 118]]
[[123 460]] , [[123 464]]
[[814 458]] , [[814 462]]
[[814 458]] , [[814 462]]
[[ 29 309]] , [[ 29 313]]
[[913 118]] , [[913 122]]
[[913 118]] , [[913 122]]
[[749 483]] , [[749 487]]
[[545 456]] , [[545 460]]
[[816 458]] , [[816 462]]
[[192 357]] , [[192 361]]
[[534 489]] , [[534 493]]
[[202 456]] , [[200 458]]
[[164 560]] , [[164 565]]
[[829 118]] , [[829 122]]
[[ 41 358]] , [[ 41 362]]
[[993 120]] , [[993 124]]
[[553 547]] , [[552 548]]
[[126 460]] , [[126 464]]
[[297 569]] , [[297 573]]
[[454 489]] , [[454 493]]
[[703 569]] , [[703 573]]
[[454 491]] , [[454 495]]
[[448 491]] , [[448 495]]
[[751 460]] , [[751 464]]
[[253 490]] , [[253 494]]
[[ 77 468]] , [[ 77 472]]
[[101 486]] , [[101 490]]
[[157 459]] , [[157 461]]
[[146 487]] , [[146 491]]
[[171 358]] , [[171 362]]
[[813 460]] , [[813 464]]
[[813 460]] , [[813 464]]
[[612 552]] , [[612 556]]
[[139 485]] , [[139 489]]
[[349 492]] , [[349 496]]
[[493 492]] , [[493 496]]
[[640 489]] , [[640 493]]
[[279 488]] , [[279 492]]
[[543 549]] , [[543 553]]
[[390 490]] , [[389 491]]
[[188 571]] , [[188 575]]
[[ 26 358]] , [[ 26 362]]
[[480 491]] , [[480 495]]
[[170 460]] , [[170 464]]
[[562 489]] , [[562 493]]
[[195 455]] , [[192 458]]
[[702 488]] , [[702 492]]
[[100 485]] , [[100 489]]
[[303 489]] , [[302 490]]
[[532 489]] , [[532 493]]
[[619 489]] , [[619 493]]
[[670 572]] , [[668 574]]
[[262 574]] , [[262 578]]
[[139 485]] , [[139 489]]
[[253 488]] , [[253 492]]
[[637 458]] , [[637 462]]
[[211 553]] , [[209 555]]
[[317 551]] , [[317 555]]
[[405 490]] , [[405 494]]
[[332 489]] , [[332 493]]
[[332 489]] , [[332 493]]
[[173 459]] , [[173 460]]
[[239 573]] , [[239 577]]
[[310 573]] , [[310 577]]
[[310 573]] , [[310 577]]
[[504 575]] , [[504 579]]
[[342 577]] , [[342 581]]
[[542 575]] , [[542 579]]
[[687 571]] , [[685 573]]
[[344 577]] , [[344 581]]
[[344 577]] , [[344 581]]
[[620 492]] , [[620 496]]
[[287 553]] , [[285 555]]
[[562 491]] , [[562 495]]
[[441 551]] , [[441 555]]
[[865 123]] , [[865 127]]
