[[376 514]] , [[376 521]]
[[841 570]] , [[842 569]]
[[692 256]] , [[692 260]]
[[672 258]] , [[672 262]]
[[802 514]] , [[802 515]]
[[738 153]] , [[738 159]]
[[766 512]] , [[766 513]]
[[681 258]] , [[681 262]]
[[376 514]] , [[376 523]]
[[452 512]] , [[452 521]]
[[654 274]] , [[654 279]]
[[654 274]] , [[654 278]]
[[646 274]] , [[646 279]]
[[811 520]] , [[812 519]]
[[648 274]] , [[648 278]]
[[478 514]] , [[478 517]]
[[376 514]] , [[376 515]]
[[648 274]] , [[648 278]]
[[656 274]] , [[656 278]]
[[641 532]] , [[642 531]]
[[812 514]] , [[812 517]]
[[770 130]] , [[770 134]]
[[376 516]] , [[376 522]]
[[750 514]] , [[750 515]]
[[835 626]] , [[836 625]]
[[832 517]] , [[832 523]]
[[376 516]] , [[376 522]]
[[1000  435]] , [[1000  439]]
[[454 512]] , [[454 520]]
[[504 516]] , [[504 524]]
[[754 514]] , [[754 515]]
[[454 512]] , [[454 519]]
[[733 267]] , [[733 271]]
[[448 512]] , [[448 519]]
[[661 532]] , [[662 531]]
[[752 514]] , [[752 515]]
[[504 516]] , [[504 524]]
[[808 514]] , [[807 515]]
[[657 530]] , [[658 529]]
[[692 256]] , [[692 257]]
[[688 256]] , [[688 262]]
[[841 570]] , [[842 569]]
[[753 161]] , [[753 165]]
[[767 155]] , [[767 159]]
[[720 273]] , [[720 277]]
[[646 258]] , [[646 262]]
[[486 514]] , [[486 515]]
[[780 514]] , [[778 516]]
[[659 530]] , [[660 529]]
[[486 514]] , [[486 519]]
[[290 704]] , [[290 715]]
[[821 540]] , [[822 539]]
[[832 670]] , [[832 689]]
[[821 540]] , [[822 539]]
[[474 536]] , [[474 545]]
[[659 530]] , [[660 529]]
[[656 616]] , [[656 621]]
[[800 514]] , [[800 515]]
[[304 534]] , [[304 535]]
[[819 528]] , [[820 527]]
[[477 536]] , [[477 537]]
[[378 514]] , [[378 515]]
[[742 514]] , [[742 515]]
[[774 514]] , [[774 515]]
[[656 616]] , [[656 623]]
[[648 585]] , [[648 589]]
[[650 630]] , [[650 634]]
[[470 640]] , [[470 641]]
[[502 518]] , [[502 523]]
[[502 518]] , [[502 523]]
[[650 626]] , [[650 635]]
[[802 514]] , [[801 515]]
[[840 618]] , [[840 621]]
[[840 562]] , [[840 563]]
[[826 534]] , [[826 541]]
[[826 534]] , [[826 541]]
[[290 590]] , [[290 601]]
[[290 590]] , [[290 601]]
[[306 538]] , [[306 539]]
[[826 534]] , [[826 539]]
[[842 618]] , [[842 619]]
[[758 514]] , [[758 515]]
[[306 538]] , [[306 539]]
[[758 514]] , [[758 515]]
[[502 518]] , [[502 523]]
[[504 518]] , [[504 523]]
[[294 580]] , [[294 589]]
[[514 516]] , [[514 519]]
[[466 624]] , [[466 633]]
[[758 514]] , [[757 515]]
[[846 562]] , [[846 563]]
[[654 626]] , [[654 627]]
[[846 562]] , [[846 563]]
[[847 554]] , [[847 559]]
[[482 529]] , [[482 533]]
[[805 526]] , [[806 525]]
[[454 512]] , [[454 513]]
[[833 540]] , [[834 539]]
[[760 514]] , [[760 515]]
[[760 514]] , [[760 515]]
[[464 575]] , [[464 579]]
[[643 266]] , [[643 270]]
[[753 161]] , [[753 165]]
[[628 258]] , [[628 262]]
[[831 528]] , [[832 527]]
[[628 258]] , [[628 262]]
[[305 542]] , [[305 546]]
[[628 258]] , [[628 262]]
[[657 258]] , [[657 262]]
[[486 514]] , [[486 517]]
[[652 264]] , [[652 269]]
[[827 528]] , [[828 527]]
[[628 258]] , [[628 262]]
[[686 256]] , [[686 260]]
[[826 516]] , [[826 523]]
[[486 514]] , [[486 519]]
[[659 530]] , [[660 529]]
[[515 516]] , [[514 517]]
[[454 544]] , [[454 579]]
[[373 514]] , [[373 515]]
[[748 154]] , [[748 158]]
[[750 155]] , [[750 159]]
[[819 524]] , [[820 523]]
[[470 542]] , [[470 543]]
[[484 514]] , [[484 515]]
[[994 435]] , [[994 439]]
[[374 515]] , [[373 516]]
[[838 534]] , [[838 541]]
[[838 534]] , [[838 541]]
[[994 434]] , [[994 439]]
[[373 516]] , [[373 517]]
[[994 432]] , [[994 441]]
[[644 264]] , [[644 269]]
[[698 256]] , [[698 260]]
[[748 512]] , [[748 513]]
[[742 151]] , [[742 153]]
[[698 275]] , [[698 279]]
[[792 512]] , [[792 513]]
[[746 514]] , [[746 515]]
[[698 275]] , [[698 279]]
[[752 161]] , [[752 165]]
[[698 275]] , [[698 279]]
[[320 528]] , [[320 535]]
[[774 512]] , [[774 513]]
[[714 275]] , [[714 281]]
[[711 275]] , [[711 279]]
[[698 275]] , [[698 279]]
[[793 522]] , [[794 521]]
[[794 512]] , [[793 513]]
[[667 264]] , [[667 269]]
[[825 538]] , [[826 537]]
[[774 512]] , [[774 513]]
[[718 275]] , [[718 279]]
[[748 155]] , [[748 159]]
[[728 275]] , [[728 279]]
[[803 524]] , [[804 523]]
[[448 512]] , [[448 513]]
[[752 512]] , [[752 515]]
[[726 166]] , [[726 171]]
[[825 524]] , [[826 523]]
[[645 265]] , [[645 269]]
[[448 512]] , [[448 519]]
[[560 258]] , [[560 263]]
[[840 540]] , [[840 541]]
[[803 524]] , [[804 523]]
[[487 514]] , [[485 516]]
[[480 526]] , [[480 530]]
[[780 514]] , [[779 515]]
[[380 516]] , [[380 520]]
[[803 532]] , [[804 531]]
[[380 516]] , [[380 520]]
[[752 157]] , [[752 163]]
[[667 532]] , [[668 531]]
[[843 706]] , [[844 705]]
[[707 166]] , [[707 168]]
[[680 258]] , [[680 262]]
[[839 938]] , [[840 937]]
[[690 169]] , [[690 173]]
[[693 169]] , [[693 173]]
[[630 258]] , [[630 262]]
[[853 578]] , [[854 577]]
[[656 256]] , [[656 261]]
[[656 256]] , [[656 262]]
[[672 256]] , [[672 257]]
[[672 256]] , [[672 260]]
[[490 514]] , [[490 515]]
[[667 530]] , [[668 529]]
[[766 515]] , [[765 516]]
[[764 514]] , [[764 515]]
[[678 256]] , [[678 262]]
[[454 510]] , [[454 518]]
[[380 515]] , [[380 519]]
[[766 514]] , [[766 515]]
[[766 514]] , [[766 515]]
[[378 516]] , [[378 522]]
[[480 532]] , [[480 533]]
[[526 520]] , [[526 525]]
[[478 526]] , [[478 538]]
[[304 538]] , [[304 543]]
[[480 516]] , [[480 521]]
[[766 514]] , [[766 515]]
[[480 516]] , [[480 521]]
[[480 526]] , [[480 534]]
[[294 674]] , [[294 683]]
[[839 564]] , [[839 565]]
[[468 624]] , [[468 628]]
[[304 536]] , [[304 547]]
[[840 620]] , [[840 621]]
[[510 518]] , [[510 523]]
[[843 562]] , [[844 561]]
[[796 512]] , [[795 513]]
[[848 560]] , [[848 563]]
[[526 518]] , [[526 519]]
[[304 536]] , [[304 547]]
[[480 516]] , [[480 521]]
[[470 636]] , [[470 637]]
[[471 615]] , [[471 623]]
[[836 622]] , [[836 629]]
[[482 526]] , [[482 531]]
[[314 744]] , [[314 747]]
[[306 536]] , [[305 537]]
[[652 634]] , [[652 637]]
[[843 834]] , [[844 833]]
[[470 626]] , [[470 628]]
[[652 634]] , [[652 637]]
[[838 626]] , [[838 635]]
[[526 518]] , [[526 525]]
[[466 624]] , [[466 629]]
[[310 540]] , [[310 541]]
[[656 624]] , [[656 627]]
[[460 542]] , [[460 565]]
[[295 714]] , [[295 721]]
[[526 518]] , [[526 525]]
[[462 542]] , [[462 543]]
[[476 534]] , [[476 543]]
[[476 544]] , [[477 543]]
[[494 516]] , [[494 517]]
[[842 551]] , [[842 555]]
[[754 516]] , [[754 517]]
[[336 526]] , [[336 527]]
[[332 524]] , [[332 527]]
[[292 584]] , [[292 591]]
[[482 516]] , [[482 517]]
[[292 584]] , [[292 591]]
[[462 542]] , [[462 543]]
[[854 567]] , [[854 573]]
[[306 542]] , [[306 543]]
[[476 536]] , [[476 543]]
[[480 536]] , [[480 543]]
[[852 566]] , [[852 568]]
[[480 536]] , [[480 543]]
[[482 516]] , [[482 527]]
[[482 516]] , [[482 527]]
[[842 620]] , [[842 621]]
[[844 540]] , [[844 541]]
[[665 530]] , [[666 529]]
[[650 608]] , [[650 625]]
[[665 530]] , [[666 529]]
[[466 580]] , [[466 591]]
[[624 272]] , [[624 277]]
[[286 548]] , [[286 549]]
[[611 265]] , [[611 269]]
[[526 256]] , [[526 261]]
[[752 514]] , [[752 515]]
[[848 620]] , [[848 621]]
[[560 264]] , [[560 269]]
[[558 264]] , [[558 269]]
[[752 718]] , [[752 719]]
[[824 534]] , [[824 539]]
[[640 518]] , [[640 523]]
[[286 548]] , [[286 565]]
[[466 578]] , [[466 585]]
[[286 546]] , [[286 565]]
[[828 708]] , [[828 709]]
[[382 513]] , [[382 517]]
[[286 548]] , [[286 567]]
[[715 518]] , [[713 520]]
[[715 518]] , [[713 520]]
[[648 266]] , [[648 270]]
[[690 266]] , [[690 270]]
[[715 518]] , [[713 520]]
[[462 556]] , [[462 561]]
[[738 518]] , [[738 523]]
[[800 510]] , [[800 511]]
[[678 518]] , [[678 523]]
[[488 514]] , [[488 519]]
[[282 550]] , [[282 557]]
[[486 514]] , [[486 519]]
[[846 558]] , [[846 559]]
[[838 610]] , [[838 611]]
[[844 550]] , [[843 551]]
[[842 710]] , [[842 713]]
[[283 545]] , [[282 546]]
[[830 614]] , [[830 623]]
[[794 510]] , [[793 511]]
[[670 518]] , [[670 527]]
[[704 516]] , [[704 517]]
[[464 602]] , [[464 623]]
[[374 511]] , [[374 515]]
[[286 548]] , [[286 551]]
[[750 160]] , [[750 165]]
[[646 622]] , [[646 633]]
[[648 705]] , [[647 706]]
[[648 600]] , [[648 603]]
[[790 510]] , [[790 511]]
[[750 160]] , [[750 161]]
[[766 510]] , [[766 511]]
[[835 712]] , [[836 711]]
[[839 648]] , [[840 647]]
[[823 860]] , [[824 859]]
[[454 534]] , [[454 539]]
[[376 512]] , [[376 519]]
[[850 590]] , [[850 599]]
[[782 512]] , [[782 525]]
[[480 512]] , [[480 525]]
[[817 530]] , [[818 529]]
[[791 512]] , [[789 514]]
[[750 160]] , [[750 165]]
[[760 512]] , [[760 513]]
[[482 514]] , [[482 521]]
[[760 512]] , [[759 513]]
[[480 514]] , [[480 525]]
[[668 274]] , [[668 278]]
[[806 510]] , [[805 511]]
[[376 514]] , [[376 521]]
[[841 570]] , [[842 569]]
[[692 256]] , [[692 260]]
[[672 258]] , [[672 262]]
[[802 514]] , [[802 515]]
[[738 153]] , [[738 159]]
[[766 512]] , [[766 513]]
[[681 258]] , [[681 262]]
[[376 514]] , [[376 523]]
[[452 512]] , [[452 521]]
[[654 274]] , [[654 279]]
[[654 274]] , [[654 278]]
[[646 274]] , [[646 279]]
[[811 520]] , [[812 519]]
[[648 274]] , [[648 278]]
[[478 514]] , [[478 517]]
[[376 514]] , [[376 515]]
[[648 274]] , [[648 278]]
[[656 274]] , [[656 278]]
[[641 532]] , [[642 531]]
[[812 514]] , [[812 517]]
[[770 130]] , [[770 134]]
[[376 516]] , [[376 522]]
[[750 514]] , [[750 515]]
[[835 626]] , [[836 625]]
[[832 517]] , [[832 523]]
[[376 516]] , [[376 522]]
[[1000  435]] , [[1000  439]]
[[454 512]] , [[454 520]]
[[504 516]] , [[504 524]]
[[754 514]] , [[754 515]]
[[454 512]] , [[454 519]]
[[733 267]] , [[733 271]]
[[448 512]] , [[448 519]]
[[661 532]] , [[662 531]]
[[752 514]] , [[752 515]]
[[504 516]] , [[504 524]]
[[808 514]] , [[807 515]]
[[657 530]] , [[658 529]]
[[692 256]] , [[692 257]]
[[688 256]] , [[688 262]]
[[841 570]] , [[842 569]]
[[753 161]] , [[753 165]]
[[767 155]] , [[767 159]]
[[720 273]] , [[720 277]]
[[646 258]] , [[646 262]]
[[486 514]] , [[486 515]]
[[780 514]] , [[778 516]]
[[659 530]] , [[660 529]]
[[486 514]] , [[486 519]]
[[290 704]] , [[290 715]]
[[821 540]] , [[822 539]]
[[832 670]] , [[832 689]]
[[821 540]] , [[822 539]]
[[474 536]] , [[474 545]]
[[659 530]] , [[660 529]]
[[656 616]] , [[656 621]]
[[800 514]] , [[800 515]]
[[304 534]] , [[304 535]]
[[819 528]] , [[820 527]]
[[477 536]] , [[477 537]]
[[378 514]] , [[378 515]]
[[742 514]] , [[742 515]]
[[774 514]] , [[774 515]]
[[656 616]] , [[656 623]]
[[648 585]] , [[648 589]]
[[650 630]] , [[650 634]]
[[470 640]] , [[470 641]]
[[502 518]] , [[502 523]]
[[502 518]] , [[502 523]]
[[650 626]] , [[650 635]]
[[802 514]] , [[801 515]]
[[840 618]] , [[840 621]]
[[840 562]] , [[840 563]]
[[826 534]] , [[826 541]]
[[826 534]] , [[826 541]]
[[290 590]] , [[290 601]]
[[290 590]] , [[290 601]]
[[306 538]] , [[306 539]]
[[826 534]] , [[826 539]]
[[842 618]] , [[842 619]]
[[758 514]] , [[758 515]]
[[306 538]] , [[306 539]]
[[758 514]] , [[758 515]]
[[502 518]] , [[502 523]]
[[504 518]] , [[504 523]]
[[294 580]] , [[294 589]]
[[514 516]] , [[514 519]]
[[466 624]] , [[466 633]]
[[758 514]] , [[757 515]]
[[846 562]] , [[846 563]]
[[654 626]] , [[654 627]]
[[846 562]] , [[846 563]]
[[847 554]] , [[847 559]]
[[482 529]] , [[482 533]]
[[805 526]] , [[806 525]]
[[454 512]] , [[454 513]]
[[833 540]] , [[834 539]]
[[760 514]] , [[760 515]]
[[760 514]] , [[760 515]]
[[464 575]] , [[464 579]]
[[643 266]] , [[643 270]]
[[753 161]] , [[753 165]]
[[628 258]] , [[628 262]]
[[831 528]] , [[832 527]]
[[628 258]] , [[628 262]]
[[305 542]] , [[305 546]]
[[628 258]] , [[628 262]]
[[657 258]] , [[657 262]]
[[486 514]] , [[486 517]]
[[652 264]] , [[652 269]]
[[827 528]] , [[828 527]]
[[628 258]] , [[628 262]]
[[686 256]] , [[686 260]]
[[826 516]] , [[826 523]]
[[486 514]] , [[486 519]]
[[659 530]] , [[660 529]]
[[515 516]] , [[514 517]]
[[454 544]] , [[454 579]]
[[373 514]] , [[373 515]]
[[748 154]] , [[748 158]]
[[750 155]] , [[750 159]]
[[819 524]] , [[820 523]]
[[470 542]] , [[470 543]]
[[484 514]] , [[484 515]]
[[994 435]] , [[994 439]]
[[374 515]] , [[373 516]]
[[838 534]] , [[838 541]]
[[838 534]] , [[838 541]]
[[994 434]] , [[994 439]]
[[373 516]] , [[373 517]]
[[994 432]] , [[994 441]]
[[644 264]] , [[644 269]]
[[698 256]] , [[698 260]]
[[748 512]] , [[748 513]]
[[742 151]] , [[742 153]]
[[698 275]] , [[698 279]]
[[792 512]] , [[792 513]]
[[746 514]] , [[746 515]]
[[698 275]] , [[698 279]]
[[752 161]] , [[752 165]]
[[698 275]] , [[698 279]]
[[320 528]] , [[320 535]]
[[774 512]] , [[774 513]]
[[714 275]] , [[714 281]]
[[711 275]] , [[711 279]]
[[698 275]] , [[698 279]]
[[793 522]] , [[794 521]]
[[794 512]] , [[793 513]]
[[667 264]] , [[667 269]]
[[825 538]] , [[826 537]]
[[774 512]] , [[774 513]]
[[718 275]] , [[718 279]]
[[748 155]] , [[748 159]]
[[728 275]] , [[728 279]]
[[803 524]] , [[804 523]]
[[448 512]] , [[448 513]]
[[752 512]] , [[752 515]]
[[726 166]] , [[726 171]]
[[825 524]] , [[826 523]]
[[645 265]] , [[645 269]]
[[448 512]] , [[448 519]]
[[560 258]] , [[560 263]]
[[840 540]] , [[840 541]]
[[803 524]] , [[804 523]]
[[487 514]] , [[485 516]]
[[480 526]] , [[480 530]]
[[780 514]] , [[779 515]]
[[380 516]] , [[380 520]]
[[803 532]] , [[804 531]]
[[380 516]] , [[380 520]]
[[752 157]] , [[752 163]]
[[667 532]] , [[668 531]]
[[843 706]] , [[844 705]]
[[707 166]] , [[707 168]]
[[680 258]] , [[680 262]]
[[839 938]] , [[840 937]]
[[690 169]] , [[690 173]]
[[693 169]] , [[693 173]]
[[630 258]] , [[630 262]]
[[853 578]] , [[854 577]]
[[656 256]] , [[656 261]]
[[656 256]] , [[656 262]]
[[672 256]] , [[672 257]]
[[672 256]] , [[672 260]]
[[490 514]] , [[490 515]]
[[667 530]] , [[668 529]]
[[766 515]] , [[765 516]]
[[764 514]] , [[764 515]]
[[678 256]] , [[678 262]]
[[454 510]] , [[454 518]]
[[380 515]] , [[380 519]]
[[766 514]] , [[766 515]]
[[766 514]] , [[766 515]]
[[378 516]] , [[378 522]]
[[480 532]] , [[480 533]]
[[526 520]] , [[526 525]]
[[478 526]] , [[478 538]]
[[304 538]] , [[304 543]]
[[480 516]] , [[480 521]]
[[766 514]] , [[766 515]]
[[480 516]] , [[480 521]]
[[480 526]] , [[480 534]]
[[294 674]] , [[294 683]]
[[839 564]] , [[839 565]]
[[468 624]] , [[468 628]]
[[304 536]] , [[304 547]]
[[840 620]] , [[840 621]]
[[510 518]] , [[510 523]]
[[843 562]] , [[844 561]]
[[796 512]] , [[795 513]]
[[848 560]] , [[848 563]]
[[526 518]] , [[526 519]]
[[304 536]] , [[304 547]]
[[480 516]] , [[480 521]]
[[470 636]] , [[470 637]]
[[471 615]] , [[471 623]]
[[836 622]] , [[836 629]]
[[482 526]] , [[482 531]]
[[314 744]] , [[314 747]]
[[306 536]] , [[305 537]]
[[652 634]] , [[652 637]]
[[843 834]] , [[844 833]]
[[470 626]] , [[470 628]]
[[652 634]] , [[652 637]]
[[838 626]] , [[838 635]]
[[526 518]] , [[526 525]]
[[466 624]] , [[466 629]]
[[310 540]] , [[310 541]]
[[656 624]] , [[656 627]]
[[460 542]] , [[460 565]]
[[295 714]] , [[295 721]]
[[526 518]] , [[526 525]]
[[462 542]] , [[462 543]]
[[476 534]] , [[476 543]]
[[476 544]] , [[477 543]]
[[494 516]] , [[494 517]]
[[842 551]] , [[842 555]]
[[754 516]] , [[754 517]]
[[336 526]] , [[336 527]]
[[332 524]] , [[332 527]]
[[292 584]] , [[292 591]]
[[482 516]] , [[482 517]]
[[292 584]] , [[292 591]]
[[462 542]] , [[462 543]]
[[854 567]] , [[854 573]]
[[306 542]] , [[306 543]]
[[476 536]] , [[476 543]]
[[480 536]] , [[480 543]]
[[852 566]] , [[852 568]]
[[480 536]] , [[480 543]]
[[482 516]] , [[482 527]]
[[482 516]] , [[482 527]]
[[842 620]] , [[842 621]]
[[844 540]] , [[844 541]]
[[665 530]] , [[666 529]]
[[650 608]] , [[650 625]]
[[665 530]] , [[666 529]]
[[466 580]] , [[466 591]]
[[624 272]] , [[624 277]]
[[286 548]] , [[286 549]]
[[611 265]] , [[611 269]]
[[526 256]] , [[526 261]]
[[752 514]] , [[752 515]]
[[848 620]] , [[848 621]]
[[560 264]] , [[560 269]]
[[558 264]] , [[558 269]]
[[752 718]] , [[752 719]]
[[824 534]] , [[824 539]]
[[640 518]] , [[640 523]]
[[286 548]] , [[286 565]]
[[466 578]] , [[466 585]]
[[286 546]] , [[286 565]]
[[828 708]] , [[828 709]]
[[382 513]] , [[382 517]]
[[286 548]] , [[286 567]]
[[715 518]] , [[713 520]]
[[715 518]] , [[713 520]]
[[648 266]] , [[648 270]]
[[690 266]] , [[690 270]]
[[715 518]] , [[713 520]]
[[462 556]] , [[462 561]]
[[738 518]] , [[738 523]]
[[800 510]] , [[800 511]]
[[678 518]] , [[678 523]]
[[488 514]] , [[488 519]]
[[282 550]] , [[282 557]]
[[486 514]] , [[486 519]]
[[846 558]] , [[846 559]]
[[838 610]] , [[838 611]]
[[844 550]] , [[843 551]]
[[842 710]] , [[842 713]]
[[283 545]] , [[282 546]]
[[830 614]] , [[830 623]]
[[794 510]] , [[793 511]]
[[670 518]] , [[670 527]]
[[704 516]] , [[704 517]]
[[464 602]] , [[464 623]]
[[374 511]] , [[374 515]]
[[286 548]] , [[286 551]]
[[750 160]] , [[750 165]]
[[646 622]] , [[646 633]]
[[648 705]] , [[647 706]]
[[648 600]] , [[648 603]]
[[790 510]] , [[790 511]]
[[750 160]] , [[750 161]]
[[766 510]] , [[766 511]]
[[835 712]] , [[836 711]]
[[839 648]] , [[840 647]]
[[823 860]] , [[824 859]]
[[454 534]] , [[454 539]]
[[376 512]] , [[376 519]]
[[850 590]] , [[850 599]]
[[782 512]] , [[782 525]]
[[480 512]] , [[480 525]]
[[817 530]] , [[818 529]]
[[791 512]] , [[789 514]]
[[750 160]] , [[750 165]]
[[760 512]] , [[760 513]]
[[482 514]] , [[482 521]]
