[[202 453]] , [[200 455]]
[[920 605]] , [[919 606]]
[[246 549]] , [[245 550]]
[[753 301]] , [[753 305]]
[[135 460]] , [[135 464]]
[[766 485]] , [[766 489]]
[[803 120]] , [[803 124]]
[[895 118]] , [[894 119]]
[[718 118]] , [[718 122]]
[[172 455]] , [[171 456]]
[[ 82 305]] , [[ 82 309]]
[[ 97 359]] , [[ 97 363]]
[[852 119]] , [[851 120]]
[[1022  120]] , [[1022  124]]
[[332 455]] , [[332 459]]
[[1022  120]] , [[1022  124]]
[[141 459]] , [[141 463]]
[[127 459]] , [[127 463]]
[[394 455]] , [[394 459]]
[[ 78 357]] , [[ 77 358]]
[[185 357]] , [[185 361]]
[[559 449]] , [[559 453]]
[[1038  120]] , [[1038  124]]
[[757 119]] , [[757 123]]
[[545 451]] , [[545 455]]
[[475 453]] , [[475 457]]
[[779 487]] , [[779 491]]
[[475 453]] , [[475 457]]
[[183 485]] , [[183 490]]
[[130 355]] , [[130 356]]
[[663 488]] , [[663 492]]
[[ 98 459]] , [[ 97 460]]
[[334 453]] , [[334 457]]
[[183 485]] , [[183 490]]
[[720 488]] , [[720 492]]
[[350 453]] , [[349 454]]
[[832 485]] , [[829 488]]
[[750 487]] , [[749 488]]
[[545 488]] , [[544 489]]
[[832 485]] , [[831 486]]
[[702 488]] , [[702 492]]
[[279 455]] , [[279 459]]
[[545 488]] , [[545 492]]
[[104 486]] , [[104 490]]
[[629 489]] , [[629 493]]
[[320 455]] , [[320 459]]
[[531 489]] , [[531 493]]
[[371 491]] , [[371 495]]
[[495 549]] , [[495 553]]
[[828 489]] , [[827 490]]
[[591 490]] , [[591 494]]
[[591 490]] , [[591 494]]
[[692 572]] , [[692 573]]
[[213 488]] , [[213 492]]
[[191 488]] , [[190 489]]
[[181 490]] , [[181 494]]
[[828 491]] , [[828 495]]
[[942 123]] , [[941 124]]
[[1043  125]] , [[1043  129]]
[[585 448]] , [[585 451]]
[[ 82 463]] , [[ 80 465]]
[[  4 126]] , [[  4 130]]
[[188 360]] , [[188 364]]
[[836 481]] , [[836 483]]
[[625 351]] , [[625 355]]
[[625 490]] , [[625 494]]
[[192 457]] , [[190 459]]
[[795 489]] , [[795 493]]
[[438 493]] , [[437 494]]
[[240 487]] , [[240 491]]
[[186 488]] , [[186 489]]
[[831 486]] , [[829 488]]
[[150 490]] , [[150 494]]
[[104 358]] , [[104 362]]
[[323 358]] , [[323 362]]
[[ 61 360]] , [[ 61 364]]
[[347 455]] , [[347 459]]
[[323 358]] , [[323 362]]
[[141 358]] , [[139 360]]
[[547 491]] , [[547 495]]
[[198 360]] , [[198 364]]
[[392 455]] , [[391 456]]
[[198 360]] , [[198 364]]
[[ 29 359]] , [[ 29 363]]
[[1018  121]] , [[1017  122]]
[[1029  120]] , [[1029  124]]
[[194 457]] , [[192 459]]
[[198 360]] , [[198 364]]
[[846 121]] , [[845 122]]
[[ 10 358]] , [[ 10 362]]
[[171 358]] , [[171 362]]
[[932 122]] , [[932 126]]
[[687 460]] , [[687 464]]
[[711 487]] , [[711 491]]
[[783 488]] , [[783 492]]
[[129 488]] , [[129 492]]
[[811 485]] , [[811 489]]
[[ 45 359]] , [[ 45 363]]
[[183 358]] , [[183 362]]
[[150 459]] , [[150 463]]
[[ 80 461]] , [[ 79 462]]
[[100 461]] , [[100 465]]
[[266 455]] , [[266 459]]
[[687 488]] , [[685 490]]
[[784 488]] , [[784 492]]
[[750 488]] , [[749 489]]
[[204 488]] , [[204 492]]
[[192 457]] , [[190 459]]
[[192 457]] , [[190 459]]
[[119 461]] , [[119 465]]
[[  6 124]] , [[  6 128]]
[[ 79 466]] , [[ 79 471]]
[[ 79 466]] , [[ 79 471]]
[[173 459]] , [[173 463]]
[[284 455]] , [[283 456]]
[[156 459]] , [[156 461]]
[[ 71 358]] , [[ 71 362]]
[[173 459]] , [[173 463]]
[[979 121]] , [[979 125]]
[[ 71 358]] , [[ 71 362]]
[[208 488]] , [[208 492]]
[[177 459]] , [[177 463]]
[[779 488]] , [[779 492]]
[[ 47 359]] , [[ 47 363]]
[[101 358]] , [[101 362]]
[[611 120]] , [[611 124]]
[[862 121]] , [[861 122]]
[[1074  103]] , [[1073  104]]
[[958 121]] , [[957 122]]
[[1061  115]] , [[1061  116]]
[[ 29 360]] , [[ 29 364]]
[[995 121]] , [[995 125]]
[[656 120]] , [[656 124]]
[[1036  121]] , [[1035  122]]
[[1075  100]] , [[1074  101]]
[[ 62 310]] , [[ 62 314]]
[[1062  115]] , [[1062  117]]
[[158 360]] , [[158 364]]
[[887 125]] , [[887 129]]
[[733 125]] , [[733 129]]
[[741 107]] , [[741 111]]
[[985 105]] , [[985 109]]
[[764 448]] , [[764 452]]
[[1035  109]] , [[1035  113]]
[[652 118]] , [[652 122]]
