[[1023   13]] , [[1023   17]]
[[838 350]] , [[836 352]]
[[1075   95]] , [[1074   96]]
[[870 116]] , [[868 118]]
[[185 356]] , [[185 360]]
[[ 97 356]] , [[ 97 360]]
[[734 119]] , [[734 123]]
[[1011  120]] , [[1010  121]]
[[ 93 302]] , [[ 93 306]]
[[993 120]] , [[993 124]]
[[869 119]] , [[868 120]]
[[869 119]] , [[868 120]]
[[879 119]] , [[878 120]]
[[156 357]] , [[156 361]]
[[108 460]] , [[107 461]]
[[890 121]] , [[890 125]]
[[743 356]] , [[743 360]]
[[741 356]] , [[741 360]]
[[888 121]] , [[888 125]]
[[753 119]] , [[753 120]]
[[746 356]] , [[746 360]]
[[105 486]] , [[105 490]]
[[548 356]] , [[548 360]]
[[868 120]] , [[868 124]]
[[ 20 359]] , [[ 20 363]]
[[1025  117]] , [[1025  118]]
[[163 358]] , [[163 362]]
[[653 118]] , [[653 122]]
[[101 358]] , [[101 362]]
[[733 119]] , [[733 123]]
[[896 119]] , [[896 123]]
[[677 456]] , [[677 460]]
[[811 117]] , [[811 121]]
[[637 489]] , [[637 493]]
[[605 575]] , [[605 579]]
[[725 454]] , [[725 458]]
[[ 75 308]] , [[ 75 312]]
[[ 57 308]] , [[ 57 312]]
[[414 454]] , [[414 458]]
[[749 119]] , [[749 123]]
[[812 119]] , [[812 123]]
[[816 458]] , [[816 462]]
[[218 351]] , [[218 355]]
[[526 550]] , [[525 551]]
[[848 119]] , [[848 123]]
[[135 487]] , [[135 491]]
[[221 485]] , [[221 489]]
[[ 78 304]] , [[ 78 308]]
[[924 121]] , [[924 125]]
[[926 121]] , [[926 125]]
[[171 357]] , [[171 361]]
[[201 456]] , [[201 460]]
[[740 119]] , [[740 123]]
[[749 119]] , [[749 123]]
[[895 119]] , [[895 123]]
[[811 119]] , [[811 123]]
[[760 119]] , [[760 123]]
[[1055  119]] , [[1055  123]]
[[109 460]] , [[109 464]]
[[273 489]] , [[273 493]]
[[530 489]] , [[530 493]]
[[549 452]] , [[549 456]]
[[861 121]] , [[861 125]]
[[848 121]] , [[848 125]]
[[141 358]] , [[141 362]]
[[808 117]] , [[808 121]]
[[ 94 483]] , [[ 94 487]]
[[197 487]] , [[197 488]]
[[509 493]] , [[509 497]]
[[141 462]] , [[141 466]]
[[1057  119]] , [[1057  120]]
[[688 460]] , [[688 464]]
[[607 460]] , [[607 464]]
[[178 460]] , [[176 462]]
[[859 121]] , [[859 125]]
[[ 94 483]] , [[ 94 487]]
[[132 359]] , [[132 363]]
[[175 489]] , [[175 493]]
[[619 119]] , [[619 123]]
[[886 307]] , [[886 311]]
[[1075  101]] , [[1075  102]]
