[[ 91 355]] , [[ 91 359]]
[[589 116]] , [[589 120]]
[[271 357]] , [[271 361]]
[[580 455]] , [[580 459]]
[[ 44 356]] , [[ 44 360]]
[[1074   99]] , [[1074  103]]
[[983 120]] , [[981 122]]
[[891 121]] , [[891 125]]
[[774 356]] , [[774 360]]
[[925 121]] , [[925 125]]
[[402 356]] , [[402 360]]
[[765 119]] , [[765 123]]
[[765 119]] , [[765 123]]
[[974 119]] , [[973 120]]
[[909 120]] , [[909 124]]
[[737 354]] , [[737 358]]
[[590 453]] , [[590 457]]
[[718 354]] , [[718 358]]
[[382 453]] , [[381 454]]
[[876 119]] , [[875 120]]
[[305 455]] , [[305 459]]
[[ 82 357]] , [[ 81 358]]
[[802 120]] , [[802 124]]
[[350 453]] , [[349 454]]
[[ 87 475]] , [[ 87 479]]
[[ 86 303]] , [[ 86 307]]
[[ 97 357]] , [[ 97 361]]
[[198 360]] , [[198 364]]
[[450 453]] , [[449 454]]
[[ 36 358]] , [[ 36 362]]
[[245 455]] , [[245 459]]
[[1036  120]] , [[1036  124]]
[[297 455]] , [[297 459]]
[[129 355]] , [[129 356]]
[[842 472]] , [[842 473]]
[[857 120]] , [[857 124]]
[[368 455]] , [[368 459]]
[[185 488]] , [[185 492]]
[[701 489]] , [[701 493]]
[[305 457]] , [[305 461]]
[[842 473]] , [[840 475]]
[[101 461]] , [[101 465]]
[[572 490]] , [[572 494]]
[[310 455]] , [[310 459]]
[[310 455]] , [[310 459]]
[[320 457]] , [[320 461]]
[[274 457]] , [[274 461]]
[[958 123]] , [[957 124]]
[[ 33 361]] , [[ 33 365]]
[[932 121]] , [[931 122]]
[[398 356]] , [[398 360]]
[[140 459]] , [[140 461]]
[[ 92 303]] , [[ 92 307]]
[[557 449]] , [[557 453]]
[[241 487]] , [[241 491]]
[[323 358]] , [[323 362]]
[[ 37 359]] , [[ 37 363]]
[[ 66 359]] , [[ 65 360]]
[[178 459]] , [[177 460]]
[[868 118]] , [[868 122]]
[[1025  119]] , [[1024  120]]
[[975 121]] , [[975 125]]
[[901 120]] , [[901 124]]
[[182 459]] , [[180 461]]
[[901 120]] , [[901 124]]
[[967 121]] , [[967 125]]
[[743 119]] , [[743 123]]
[[809 121]] , [[809 125]]
[[1058  117]] , [[1058  119]]
[[1058  117]] , [[1058  119]]
[[715 355]] , [[715 359]]
[[ 61 360]] , [[ 61 364]]
[[144 459]] , [[144 463]]
[[198 360]] , [[198 364]]
[[550 356]] , [[550 360]]
[[1008  120]] , [[1008  124]]
[[639 351]] , [[639 355]]
[[102 358]] , [[102 362]]
[[145 358]] , [[143 360]]
[[794 120]] , [[794 121]]
[[346 455]] , [[346 459]]
[[368 455]] , [[368 459]]
[[248 455]] , [[248 459]]
[[ 47 359]] , [[ 47 363]]
[[800 120]] , [[800 124]]
[[929 120]] , [[929 124]]
[[943 121]] , [[943 125]]
[[1063  112]] , [[1062  113]]
[[ 82 303]] , [[ 81 304]]
[[  6 124]] , [[  6 128]]
[[948 121]] , [[947 122]]
[[730 120]] , [[730 124]]
[[730 120]] , [[730 124]]
[[1062  114]] , [[1062  115]]
[[979 121]] , [[979 125]]
[[1072  103]] , [[1072  107]]
[[145 358]] , [[143 360]]
[[948 121]] , [[947 122]]
[[368 455]] , [[368 459]]
[[744 120]] , [[744 124]]
[[620 119]] , [[619 120]]
[[809 121]] , [[809 125]]
[[1023  107]] , [[1023  111]]
[[1068  108]] , [[1068  112]]
[[280 351]] , [[280 355]]
[[ 29 357]] , [[ 29 361]]
[[268 358]] , [[268 362]]
[[788 356]] , [[788 360]]
[[1022  120]] , [[1022  124]]
[[558 449]] , [[558 450]]
[[971 119]] , [[971 123]]
[[ 37 359]] , [[ 37 363]]
[[  6 308]] , [[  6 312]]
[[ 13 357]] , [[ 13 361]]
[[185 357]] , [[185 361]]
[[ 84 303]] , [[ 84 307]]
[[ 13 357]] , [[ 13 361]]
[[1038  120]] , [[1038  124]]
[[278 455]] , [[278 459]]
[[718 354]] , [[718 358]]
[[590 453]] , [[590 457]]
[[ 71 308]] , [[ 71 312]]
[[242 455]] , [[242 459]]
[[747 354]] , [[747 358]]
[[ 92 301]] , [[ 92 305]]
[[198 360]] , [[198 364]]
[[805 485]] , [[805 486]]
[[718 354]] , [[718 358]]
