[[184 926]] , [[184 935]]
[[ 511 1001]] , [[ 510 1002]]
[[ 498 1001]] , [[ 497 1002]]
[[186 970]] , [[186 989]]
[[496 999]] , [[ 495 1000]]
[[398 978]] , [[398 983]]
[[ 242 1004]] , [[ 242 1005]]
[[398 993]] , [[ 398 1002]]
[[178 904]] , [[178 915]]
[[618 886]] , [[618 905]]
[[656 838]] , [[656 839]]
[[192 448]] , [[192 455]]
[[244 550]] , [[244 555]]
[[186 442]] , [[186 449]]
[[258 539]] , [[258 543]]
[[856 634]] , [[856 639]]
[[238 834]] , [[238 835]]
[[356 832]] , [[356 833]]
[[240 834]] , [[240 835]]
[[240 834]] , [[240 835]]
[[442 836]] , [[442 837]]
[[  2 490]] , [[  1 491]]
[[627 614]] , [[628 613]]
[[ 11 490]] , [[ 10 491]]
[[ 17 488]] , [[ 16 489]]
[[650 784]] , [[651 783]]
[[320 566]] , [[320 567]]
[[637 744]] , [[637 745]]
[[582 742]] , [[582 743]]
[[461 736]] , [[460 737]]
[[ 68 480]] , [[ 60 488]]
[[841 602]] , [[842 601]]
[[456 736]] , [[456 741]]
[[457 736]] , [[457 741]]
[[471 918]] , [[472 917]]
[[651 605]] , [[652 604]]
[[389 593]] , [[390 594]]
[[587 740]] , [[587 744]]
[[651 605]] , [[652 604]]
[[825 758]] , [[826 757]]
[[463 595]] , [[464 594]]
[[524 631]] , [[523 632]]
[[ 22 542]] , [[ 22 547]]
[[653 605]] , [[654 604]]
[[653 605]] , [[654 604]]
[[831 756]] , [[832 755]]
[[831 756]] , [[832 755]]
[[   0 1016]] , [[   0 1037]]
[[917 760]] , [[918 759]]
[[463 594]] , [[464 593]]
[[463 594]] , [[464 593]]
[[463 594]] , [[464 593]]
[[604 740]] , [[604 743]]
[[602 740]] , [[602 741]]
[[835 608]] , [[836 607]]
[[529 967]] , [[530 966]]
[[839 756]] , [[840 755]]
[[682 913]] , [[685 913]]
[[ 38 536]] , [[ 38 541]]
[[ 10 538]] , [[ 10 543]]
[[ 30 526]] , [[ 30 531]]
[[655 603]] , [[659 603]]
[[ 23 526]] , [[ 23 530]]
[[655 603]] , [[661 603]]
[[403 594]] , [[404 593]]
[[737 956]] , [[738 955]]
[[735 946]] , [[736 945]]
[[  49 1039]] , [[  50 1038]]
[[ 64 502]] , [[ 64 503]]
[[837 755]] , [[838 754]]
[[839 606]] , [[840 605]]
[[835 755]] , [[836 754]]
