[[ 21 506]] , [[ 22 505]]
[[446 966]] , [[446 973]]
[[  0 518]] , [[  0 525]]
[[661 920]] , [[662 919]]
[[323 908]] , [[324 907]]
[[643 930]] , [[644 929]]
[[476 610]] , [[477 609]]
[[587 923]] , [[588 922]]
[[497 744]] , [[496 745]]
[[ 13 490]] , [[ 13 491]]
[[565 924]] , [[566 923]]
[[467 610]] , [[468 609]]
[[631 948]] , [[632 947]]
[[381 998]] , [[ 381 1005]]
[[341 734]] , [[341 738]]
[[446 990]] , [[446 995]]
[[281 589]] , [[282 588]]
[[281 588]] , [[282 587]]
[[312 906]] , [[312 910]]
[[  0 492]] , [[  0 514]]
[[540 738]] , [[540 743]]
[[437 956]] , [[438 955]]
[[560 740]] , [[560 744]]
[[540 738]] , [[539 739]]
[[498 746]] , [[498 750]]
[[528 739]] , [[528 743]]
[[542 738]] , [[541 739]]
[[ 15 493]] , [[ 14 494]]
[[449 948]] , [[450 947]]
[[ 17 488]] , [[ 14 491]]
[[596 922]] , [[597 921]]
[[640 932]] , [[640 936]]
[[ 19 488]] , [[ 19 489]]
[[570 738]] , [[570 739]]
[[440  25]] , [[440  29]]
[[ 15 452]] , [[ 15 457]]
[[ 49 487]] , [[ 48 488]]
[[353 978]] , [[354 977]]
[[ 513 1040]] , [[ 514 1039]]
[[652 605]] , [[653 604]]
[[604 742]] , [[604 749]]
[[710 758]] , [[711 757]]
[[646 744]] , [[646 749]]
[[833 604]] , [[834 603]]
[[720 757]] , [[722 759]]
[[   0 1022]] , [[   0 1057]]
[[  57 1080]] , [[  58 1079]]
[[823 758]] , [[824 757]]
[[719 930]] , [[720 929]]
[[369 565]] , [[368 566]]
[[372 565]] , [[371 566]]
[[709 617]] , [[710 616]]
[[647 606]] , [[648 605]]
[[653 605]] , [[654 604]]
[[ 365 1036]] , [[ 366 1035]]
[[ 365 1036]] , [[ 366 1035]]
[[   0 1022]] , [[   0 1049]]
[[   0 1022]] , [[   0 1039]]
[[  68 1264]] , [[  68 1269]]
[[374 566]] , [[373 567]]
[[681 913]] , [[683 913]]
[[675 916]] , [[676 915]]
[[677 915]] , [[687 915]]
[[677 916]] , [[678 915]]
[[471 918]] , [[472 917]]
[[529 996]] , [[530 995]]
[[  88 1036]] , [[  88 1041]]
[[  27 1094]] , [[  28 1093]]
[[  6 990]] , [[  6 991]]
[[835 756]] , [[836 755]]
[[471 918]] , [[472 917]]
[[847 606]] , [[848 605]]
[[  11 1074]] , [[  12 1073]]
[[835 756]] , [[836 755]]
[[738 978]] , [[739 977]]
[[471 918]] , [[472 917]]
[[  24 1054]] , [[  24 1059]]
[[  16 1060]] , [[  16 1069]]
[[  64 1086]] , [[  64 1091]]
[[653 604]] , [[654 603]]
[[384 564]] , [[384 565]]
[[384 564]] , [[384 565]]
[[  49 1039]] , [[  50 1038]]
[[   0 1078]] , [[   0 1083]]
[[  64 1148]] , [[  64 1165]]
[[  72 1174]] , [[  72 1175]]
[[  71 1158]] , [[  71 1167]]
[[  88 1068]] , [[  88 1073]]
[[  71 1154]] , [[  71 1161]]
[[674 912]] , [[675 911]]
[[  66 1038]] , [[  65 1039]]
[[  73 1084]] , [[  73 1091]]
[[  94 1052]] , [[  94 1057]]
[[373 595]] , [[391 595]]
[[663 917]] , [[664 916]]
[[705 758]] , [[706 757]]
[[ 501 1052]] , [[ 502 1051]]
[[659 918]] , [[660 917]]
[[701 758]] , [[702 757]]
[[839 601]] , [[840 600]]
[[620 744]] , [[620 749]]
[[618 744]] , [[618 749]]
[[636 740]] , [[636 741]]
[[632 740]] , [[632 741]]
[[ 29 480]] , [[ 29 483]]
[[ 18 512]] , [[ 18 517]]
[[528 740]] , [[528 741]]
[[524 740]] , [[524 741]]
[[308 568]] , [[308 569]]
[[  0 494]] , [[  0 513]]
[[512 744]] , [[512 749]]
[[658 970]] , [[659 969]]
[[320 566]] , [[320 567]]
