[[254 123]] , [[254 127]]
[[405 453]] , [[405 457]]
[[1036  119]] , [[1036  123]]
[[1055  115]] , [[1054  116]]
[[1065  107]] , [[1065  108]]
[[385 354]] , [[385 358]]
[[123 460]] , [[123 464]]
[[797 354]] , [[797 358]]
[[542 456]] , [[542 460]]
[[886 117]] , [[886 121]]
[[156 357]] , [[156 361]]
[[1065  109]] , [[1065  113]]
[[106 358]] , [[106 362]]
[[986 121]] , [[986 125]]
[[972 119]] , [[972 123]]
[[986 119]] , [[986 123]]
[[ 85 303]] , [[ 85 307]]
[[910 120]] , [[910 124]]
[[197 455]] , [[195 457]]
[[719 354]] , [[719 358]]
[[821 120]] , [[821 124]]
[[875 119]] , [[874 120]]
[[875 119]] , [[875 123]]
[[812 120]] , [[812 124]]
[[1013  120]] , [[1012  121]]
[[195 455]] , [[192 458]]
[[351 453]] , [[350 454]]
[[1061  115]] , [[1061  116]]
[[ 76 357]] , [[ 76 361]]
[[720 353]] , [[720 357]]
[[869 119]] , [[868 120]]
[[740 119]] , [[740 123]]
[[243 455]] , [[243 459]]
[[195 455]] , [[194 456]]
[[151 358]] , [[151 362]]
[[139 485]] , [[139 489]]
[[797 489]] , [[796 490]]
[[331 455]] , [[331 459]]
[[ 13 357]] , [[ 12 358]]
[[126 485]] , [[126 489]]
[[179 459]] , [[176 462]]
[[739 120]] , [[739 124]]
[[720 355]] , [[720 359]]
[[673 122]] , [[673 126]]
[[1072  102]] , [[1071  103]]
[[890 121]] , [[890 125]]
[[808 117]] , [[808 121]]
[[140 460]] , [[140 464]]
[[636 120]] , [[636 124]]
[[475 453]] , [[475 457]]
[[117 459]] , [[116 460]]
[[104 487]] , [[104 491]]
[[181 358]] , [[181 362]]
[[548 356]] , [[548 360]]
[[927 122]] , [[927 126]]
[[565 492]] , [[565 496]]
[[ 11 358]] , [[ 11 362]]
[[548 356]] , [[548 360]]
[[1015  121]] , [[1015  125]]
[[183 487]] , [[183 491]]
[[810 121]] , [[810 125]]
[[236 458]] , [[236 462]]
[[730 355]] , [[730 359]]
[[971 122]] , [[971 126]]
[[858 120]] , [[858 124]]
[[716 355]] , [[716 359]]
[[1059  117]] , [[1059  118]]
[[1035  120]] , [[1035  124]]
[[177 489]] , [[176 490]]
[[ 64 359]] , [[ 64 363]]
[[129 485]] , [[129 489]]
[[621 119]] , [[620 120]]
[[101 358]] , [[101 362]]
[[216 487]] , [[216 491]]
[[718 355]] , [[718 359]]
[[961 119]] , [[961 123]]
[[ 48 359]] , [[ 48 363]]
[[886 307]] , [[886 311]]
[[1050  121]] , [[1050  125]]
[[1062  114]] , [[1061  115]]
[[1039  120]] , [[1039  124]]
[[619 119]] , [[618 120]]
[[970 121]] , [[970 125]]
[[619 119]] , [[618 120]]
[[957 121]] , [[956 122]]
[[861 121]] , [[861 125]]
[[703 599]] , [[703 603]]
[[974 119]] , [[974 123]]
[[638 456]] , [[638 460]]
[[817 349]] , [[817 350]]
[[767 628]] , [[767 632]]
[[190 456]] , [[190 460]]
[[202 619]] , [[202 623]]
[[749 626]] , [[749 630]]
[[367 489]] , [[367 493]]
[[622 111]] , [[622 115]]
[[526 452]] , [[526 456]]
[[ 46 308]] , [[ 46 312]]
[[391 454]] , [[391 458]]
[[277 488]] , [[277 492]]
[[381 454]] , [[381 458]]
[[154 357]] , [[154 361]]
[[  0 351]] , [[  0 355]]
[[1019  119]] , [[1019  123]]
[[888 119]] , [[888 123]]
[[277 488]] , [[277 492]]
[[209 460]] , [[209 464]]
[[252 554]] , [[252 558]]
[[ 94 357]] , [[ 94 361]]
[[172 456]] , [[172 460]]
[[452 548]] , [[452 552]]
[[439 489]] , [[439 493]]
[[117 460]] , [[117 464]]
[[ 96 460]] , [[ 96 464]]
[[ 31 359]] , [[ 31 360]]
[[892 121]] , [[892 125]]
[[521 454]] , [[521 458]]
[[ 54 359]] , [[ 54 363]]
[[ 82 460]] , [[ 82 464]]
[[109 357]] , [[109 361]]
[[888 119]] , [[888 123]]
[[137 485]] , [[137 489]]
[[1022  118]] , [[1021  119]]
[[125 357]] , [[125 361]]
[[1063  113]] , [[1063  114]]
[[109 357]] , [[109 361]]
[[875 119]] , [[875 123]]
[[1035  119]] , [[1035  123]]
[[858 119]] , [[858 123]]
[[888 119]] , [[888 123]]
[[132 355]] , [[132 359]]
[[317 489]] , [[317 493]]
[[974 121]] , [[974 125]]
[[114 357]] , [[114 361]]
[[811 119]] , [[811 123]]
[[363 454]] , [[363 458]]
[[ 98 460]] , [[ 98 464]]
[[171 357]] , [[171 361]]
[[171 357]] , [[171 361]]
[[ 92 481]] , [[ 92 485]]
[[562 489]] , [[562 493]]
[[546 550]] , [[546 554]]
[[304 552]] , [[303 553]]
[[393 491]] , [[393 495]]
[[957 121]] , [[957 125]]
[[234 488]] , [[233 489]]
[[121 462]] , [[121 466]]
[[235 489]] , [[235 493]]
[[890 123]] , [[890 127]]
[[117 461]] , [[117 465]]
[[1003  123]] , [[1003  127]]
[[630 491]] , [[630 495]]
[[1052  121]] , [[1052  125]]
[[349 456]] , [[349 460]]
[[816 121]] , [[816 125]]
[[292 552]] , [[291 553]]
[[610 573]] , [[610 577]]
[[292 552]] , [[291 553]]
[[958 115]] , [[958 119]]
[[958 115]] , [[958 119]]
[[141 462]] , [[141 466]]
[[280 491]] , [[280 495]]
[[1015  121]] , [[1015  125]]
[[744 119]] , [[744 123]]
[[976 121]] , [[976 125]]
[[ 30 359]] , [[ 30 363]]
[[496 493]] , [[496 497]]
[[379 493]] , [[379 497]]
[[594 491]] , [[594 495]]
