[[385 596]] , [[386 595]]
[[104 314]] , [[104 318]]
[[  0 528]] , [[  0 533]]
[[ 28 537]] , [[ 28 541]]
[[107 313]] , [[107 317]]
[[524 630]] , [[524 639]]
[[ 76 488]] , [[ 76 491]]
[[831 756]] , [[832 755]]
[[ 24 535]] , [[ 23 536]]
[[ 67 484]] , [[ 67 489]]
[[465 594]] , [[466 593]]
[[ 29 534]] , [[ 28 535]]
[[ 41 535]] , [[ 40 536]]
[[  0 524]] , [[  0 531]]
[[ 36 540]] , [[ 36 545]]
[[ 36 540]] , [[ 36 545]]
[[837 755]] , [[838 754]]
[[ 64 502]] , [[ 64 503]]
[[ 65 502]] , [[ 65 507]]
[[ 61 499]] , [[ 61 501]]
[[  0 538]] , [[  0 543]]
[[401 594]] , [[402 593]]
[[833 755]] , [[834 754]]
[[683 913]] , [[684 912]]
[[702 622]] , [[702 627]]
[[ 72 520]] , [[ 72 521]]
[[377 594]] , [[378 593]]
[[477 737]] , [[477 743]]
[[448 736]] , [[448 743]]
[[ 77 489]] , [[ 77 491]]
[[334 258]] , [[334 263]]
[[385 130]] , [[385 135]]
[[ 42 529]] , [[ 42 533]]
[[407 594]] , [[408 593]]
[[657 604]] , [[658 603]]
[[ 10 529]] , [[ 10 533]]
[[382 562]] , [[381 563]]
[[651 604]] , [[652 603]]
[[651 604]] , [[652 603]]
[[459 590]] , [[460 589]]
[[404 960]] , [[404 961]]
[[687 914]] , [[688 913]]
[[364 130]] , [[364 134]]
[[ 61 442]] , [[ 61 449]]
[[ 45 444]] , [[ 43 446]]
[[ 46 440]] , [[ 46 441]]
[[920 610]] , [[920 611]]
[[400 568]] , [[401 567]]
[[  10 1032]] , [[  10 1033]]
[[524 726]] , [[524 731]]
[[  61 1051]] , [[  60 1052]]
[[678 578]] , [[677 579]]
[[700 742]] , [[700 743]]
[[524 726]] , [[524 732]]
[[ 38 430]] , [[ 38 431]]
[[ 36 430]] , [[ 36 431]]
[[ 392 1006]] , [[ 392 1011]]
[[ 28 430]] , [[ 28 433]]
[[376 542]] , [[376 543]]
[[  61 1053]] , [[  60 1054]]
[[451 948]] , [[451 949]]
[[196 198]] , [[196 203]]
[[418 976]] , [[418 985]]
[[174 200]] , [[174 205]]
[[725 253]] , [[725 257]]
[[ 13 428]] , [[ 14 427]]
[[438 986]] , [[438 991]]
[[430 982]] , [[430 991]]
[[  8 426]] , [[  8 431]]
[[422 961]] , [[422 969]]
[[385 596]] , [[386 595]]
[[104 314]] , [[104 318]]
[[  0 528]] , [[  0 533]]
[[ 28 537]] , [[ 28 541]]
[[107 313]] , [[107 317]]
[[524 630]] , [[524 639]]
[[ 76 488]] , [[ 76 491]]
[[831 756]] , [[832 755]]
[[ 24 535]] , [[ 23 536]]
[[ 67 484]] , [[ 67 489]]
[[465 594]] , [[466 593]]
[[ 29 534]] , [[ 28 535]]
[[ 41 535]] , [[ 40 536]]
[[  0 524]] , [[  0 531]]
[[ 36 540]] , [[ 36 545]]
[[ 36 540]] , [[ 36 545]]
[[837 755]] , [[838 754]]
[[ 64 502]] , [[ 64 503]]
[[ 65 502]] , [[ 65 507]]
[[ 61 499]] , [[ 61 501]]
[[  0 538]] , [[  0 543]]
[[401 594]] , [[402 593]]
[[833 755]] , [[834 754]]
[[683 913]] , [[684 912]]
[[702 622]] , [[702 627]]
[[ 72 520]] , [[ 72 521]]
[[377 594]] , [[378 593]]
[[477 737]] , [[477 743]]
[[448 736]] , [[448 743]]
[[ 77 489]] , [[ 77 491]]
[[334 258]] , [[334 263]]
[[385 130]] , [[385 135]]
[[ 42 529]] , [[ 42 533]]
[[407 594]] , [[408 593]]
[[657 604]] , [[658 603]]
[[ 10 529]] , [[ 10 533]]
[[382 562]] , [[381 563]]
[[651 604]] , [[652 603]]
[[651 604]] , [[652 603]]
[[459 590]] , [[460 589]]
[[404 960]] , [[404 961]]
[[687 914]] , [[688 913]]
[[364 130]] , [[364 134]]
[[ 61 442]] , [[ 61 449]]
[[ 45 444]] , [[ 43 446]]
[[ 46 440]] , [[ 46 441]]
[[920 610]] , [[920 611]]
[[400 568]] , [[401 567]]
[[  10 1032]] , [[  10 1033]]
[[524 726]] , [[524 731]]
[[  61 1051]] , [[  60 1052]]
[[678 578]] , [[677 579]]
[[700 742]] , [[700 743]]
[[524 726]] , [[524 732]]
[[ 38 430]] , [[ 38 431]]
[[ 36 430]] , [[ 36 431]]
[[ 392 1006]] , [[ 392 1011]]
[[ 28 430]] , [[ 28 433]]
[[376 542]] , [[376 543]]
[[  61 1053]] , [[  60 1054]]
[[451 948]] , [[451 949]]
[[196 198]] , [[196 203]]
[[418 976]] , [[418 985]]
[[174 200]] , [[174 205]]
[[725 253]] , [[725 257]]
[[ 13 428]] , [[ 14 427]]
[[438 986]] , [[438 991]]
[[430 982]] , [[430 991]]
[[  8 426]] , [[  8 431]]
[[422 961]] , [[422 969]]
[[ 781 1206]] , [[ 782 1205]]
[[618 890]] , [[618 907]]
[[618 890]] , [[618 907]]
[[670 852]] , [[670 857]]
[[616 858]] , [[616 862]]
[[676 842]] , [[676 847]]
[[390 894]] , [[390 909]]
[[380 852]] , [[380 859]]
[[188 451]] , [[188 455]]
