[[1039   13]] , [[1039   17]]
[[821 483]] , [[821 487]]
[[347 575]] , [[346 576]]
[[161 484]] , [[161 488]]
[[414 354]] , [[413 355]]
[[121 460]] , [[121 464]]
[[527 451]] , [[526 452]]
[[121 460]] , [[121 464]]
[[1001  116]] , [[1001  120]]
[[ 83 459]] , [[ 83 463]]
[[601 458]] , [[601 462]]
[[601 458]] , [[601 462]]
[[ 94 306]] , [[ 94 310]]
[[805 118]] , [[805 122]]
[[807 118]] , [[807 122]]
[[717 483]] , [[717 487]]
[[203 456]] , [[203 460]]
[[602 458]] , [[602 462]]
[[156 357]] , [[156 361]]
[[446 489]] , [[446 493]]
[[178 456]] , [[177 457]]
[[252 554]] , [[252 558]]
[[908 117]] , [[908 121]]
[[ 28 358]] , [[ 28 362]]
[[980 120]] , [[980 124]]
[[495 547]] , [[494 548]]
[[364 458]] , [[364 462]]
[[176 569]] , [[176 573]]
[[439 489]] , [[438 490]]
[[267 554]] , [[267 558]]
[[439 491]] , [[438 492]]
[[406 491]] , [[406 495]]
[[673 460]] , [[673 464]]
[[197 490]] , [[197 494]]
[[223 462]] , [[223 466]]
[[801 485]] , [[801 489]]
[[ 89 459]] , [[ 87 461]]
[[123 486]] , [[123 490]]
[[132 357]] , [[132 361]]
[[604 460]] , [[604 464]]
[[604 460]] , [[604 464]]
[[379 551]] , [[379 555]]
[[ 78 466]] , [[ 78 471]]
[[557 491]] , [[556 492]]
[[557 491]] , [[556 492]]
[[631 489]] , [[630 490]]
[[249 488]] , [[249 492]]
[[431 549]] , [[431 553]]
[[343 490]] , [[343 494]]
[[772 569]] , [[772 573]]
[[190 357]] , [[190 361]]
[[424 491]] , [[424 495]]
[[ 99 459]] , [[ 98 460]]
[[542 489]] , [[542 493]]
[[591 453]] , [[591 457]]
[[663 488]] , [[663 492]]
[[ 90 478]] , [[ 90 483]]
[[278 489]] , [[278 493]]
[[348 489]] , [[348 493]]
[[560 489]] , [[560 493]]
[[566 571]] , [[566 575]]
[[678 573]] , [[678 577]]
[[112 485]] , [[112 489]]
[[778 487]] , [[778 491]]
[[417 458]] , [[417 462]]
[[317 551]] , [[317 555]]
[[301 551]] , [[301 555]]
[[285 490]] , [[285 494]]
[[315 489]] , [[314 490]]
[[270 489]] , [[270 493]]
[[145 459]] , [[145 463]]
[[672 572]] , [[670 574]]
[[239 573]] , [[239 577]]
[[686 572]] , [[684 574]]
[[452 575]] , [[452 579]]
[[597 576]] , [[597 580]]
[[507 575]] , [[506 576]]
[[192 556]] , [[192 560]]
[[597 576]] , [[597 580]]
[[597 576]] , [[597 580]]
[[519 492]] , [[519 496]]
[[219 553]] , [[217 555]]
[[332 491]] , [[332 495]]
[[512 497]] , [[512 501]]
[[814 123]] , [[814 127]]
[[ 54 361]] , [[ 54 365]]
[[557 452]] , [[557 456]]
[[271 492]] , [[271 496]]
[[191 459]] , [[188 462]]
[[621 495]] , [[621 499]]
[[596 491]] , [[596 495]]
[[712 554]] , [[712 558]]
[[293 551]] , [[292 552]]
[[654 574]] , [[652 576]]
[[407 573]] , [[407 577]]
[[621 575]] , [[621 579]]
[[517 493]] , [[516 494]]
[[639 574]] , [[639 578]]
[[592 575]] , [[592 579]]
[[494 573]] , [[494 574]]
[[699 489]] , [[698 490]]
[[319 576]] , [[319 580]]
[[383 573]] , [[383 574]]
[[887 639]] , [[886 640]]
[[412 573]] , [[412 574]]
[[772 571]] , [[772 575]]
[[771 555]] , [[771 559]]
[[906 626]] , [[905 627]]
[[797 490]] , [[797 494]]
[[278 491]] , [[278 495]]
[[177 487]] , [[177 489]]
[[405 551]] , [[405 555]]
[[118 489]] , [[118 493]]
[[651 490]] , [[651 494]]
[[235 558]] , [[235 562]]
[[536 604]] , [[537 603]]
[[285 573]] , [[282 576]]
[[166 563]] , [[166 567]]
[[321 553]] , [[321 557]]
[[783 562]] , [[783 566]]
[[188 489]] , [[188 493]]
[[806 489]] , [[806 493]]
[[263 490]] , [[263 494]]
[[188 489]] , [[188 493]]
[[ 95 461]] , [[ 95 465]]
[[335 551]] , [[335 555]]
[[123 486]] , [[123 490]]
[[303 553]] , [[303 557]]
[[ 87 461]] , [[ 86 462]]
[[533 599]] , [[532 600]]
[[237 555]] , [[237 559]]
[[911 621]] , [[910 622]]
[[220 556]] , [[220 560]]
[[523 575]] , [[522 576]]
[[327 551]] , [[326 552]]
[[708 630]] , [[707 631]]
[[549 575]] , [[548 576]]
[[220 556]] , [[220 560]]
[[458 575]] , [[458 579]]
[[359 573]] , [[357 575]]
[[380 551]] , [[380 555]]
[[359 573]] , [[357 575]]
[[213 555]] , [[213 559]]
[[249 556]] , [[249 560]]
[[263 556]] , [[263 560]]
[[543 492]] , [[543 496]]
[[213 555]] , [[213 559]]
[[221 573]] , [[221 577]]
[[494 492]] , [[494 496]]
[[205 555]] , [[204 556]]
[[263 556]] , [[263 560]]
[[243 553]] , [[241 555]]
[[619 119]] , [[618 120]]
[[957 121]] , [[956 122]]
[[646 118]] , [[646 122]]
[[ 48 359]] , [[ 48 363]]
[[ 18 359]] , [[ 18 363]]
[[720 355]] , [[720 359]]
[[650 489]] , [[650 493]]
[[ 38 359]] , [[ 38 363]]
[[611 120]] , [[611 124]]
[[547 451]] , [[547 455]]
[[742 121]] , [[742 125]]
[[791 121]] , [[790 122]]
[[369 455]] , [[369 459]]
[[825 121]] , [[824 122]]
[[ 84 359]] , [[ 84 363]]
[[317 491]] , [[316 492]]
[[300 491]] , [[300 495]]
[[268 555]] , [[268 559]]
[[705 487]] , [[705 490]]
[[277 490]] , [[277 494]]
[[799 487]] , [[799 491]]
[[926 121]] , [[926 125]]
[[916 120]] , [[914 122]]
[[812 121]] , [[812 125]]
[[ 76 360]] , [[ 76 364]]
[[938 123]] , [[938 127]]
[[727 356]] , [[727 360]]
[[702 356]] , [[702 360]]
[[982 123]] , [[982 127]]
[[909 121]] , [[908 122]]
[[ 86 306]] , [[ 86 310]]
[[904 125]] , [[904 129]]
[[  0 363]] , [[  0 368]]
[[894 124]] , [[894 128]]
[[700 108]] , [[700 112]]
[[1036  109]] , [[1036  113]]
[[137 452]] , [[137 456]]
[[1063  105]] , [[1063  106]]
[[733 111]] , [[732 112]]
[[1019  112]] , [[1019  116]]
[[ 74 350]] , [[ 74 354]]
[[1038  113]] , [[1038  117]]
[[880 111]] , [[880 115]]
[[867 111]] , [[866 112]]
[[878 111]] , [[878 115]]
[[644 120]] , [[644 124]]
[[1057  121]] , [[1057  125]]
[[982 121]] , [[982 125]]
[[891 119]] , [[890 120]]
[[780 489]] , [[780 493]]
[[ 91 481]] , [[ 91 486]]
[[201 485]] , [[201 489]]
[[105 358]] , [[105 362]]
[[887 119]] , [[886 120]]
[[920 604]] , [[920 608]]
[[803 848]] , [[803 853]]
[[538 962]] , [[539 961]]
[[803 896]] , [[804 895]]
[[774 622]] , [[774 627]]
[[211 837]] , [[211 841]]
[[709 852]] , [[709 854]]
[[782 845]] , [[782 849]]
[[775 845]] , [[775 849]]
[[538 960]] , [[539 959]]
[[382 855]] , [[382 864]]
[[589 855]] , [[589 858]]
[[312 841]] , [[312 845]]
[[864 652]] , [[864 656]]
[[161 484]] , [[161 488]]
[[526 573]] , [[526 577]]
[[238 552]] , [[238 556]]
[[189 571]] , [[189 575]]
[[277 488]] , [[277 492]]
[[717 632]] , [[717 636]]
[[495 573]] , [[495 577]]
[[656 570]] , [[656 574]]
[[750 483]] , [[750 487]]
[[108 485]] , [[108 489]]
[[197 485]] , [[195 487]]
[[374 550]] , [[374 554]]
[[199 485]] , [[199 489]]
[[645 550]] , [[645 554]]
[[350 550]] , [[350 554]]
[[486 573]] , [[486 577]]
[[252 554]] , [[252 558]]
[[638 646]] , [[638 650]]
[[661 487]] , [[661 491]]
[[101 357]] , [[101 361]]
[[124 461]] , [[124 465]]
[[1007  119]] , [[1007  123]]
[[256 552]] , [[255 553]]
[[405 571]] , [[403 573]]
[[496 666]] , [[496 673]]
[[846 654]] , [[846 659]]
[[750 645]] , [[750 649]]
[[214 556]] , [[214 560]]
[[680 491]] , [[680 495]]
[[579 490]] , [[578 491]]
[[264 554]] , [[262 556]]
[[262 554]] , [[260 556]]
[[701 489]] , [[701 493]]
[[605 460]] , [[605 464]]
[[540 493]] , [[540 497]]
[[126 462]] , [[126 466]]
[[214 489]] , [[214 493]]
[[136 462]] , [[136 466]]
[[731 554]] , [[731 558]]
[[675 485]] , [[675 489]]
[[199 572]] , [[199 576]]
[[235 573]] , [[235 577]]
[[328 573]] , [[328 577]]
[[380 491]] , [[380 495]]
[[772 569]] , [[772 573]]
[[590 489]] , [[590 493]]
[[218 614]] , [[218 615]]
[[605 489]] , [[605 493]]
[[630 572]] , [[629 573]]
[[380 491]] , [[380 495]]
[[231 554]] , [[231 558]]
[[805 485]] , [[805 489]]
[[406 575]] , [[406 579]]
[[273 571]] , [[273 572]]
[[204 571]] , [[204 575]]
[[567 571]] , [[565 573]]
[[259 571]] , [[259 572]]
[[319 575]] , [[319 579]]
[[560 669]] , [[560 673]]
[[426 571]] , [[426 575]]
[[309 574]] , [[309 578]]
[[480 491]] , [[480 495]]
[[309 574]] , [[309 578]]
[[557 622]] , [[557 626]]
[[236 574]] , [[235 575]]
[[571 489]] , [[571 493]]
[[246 554]] , [[245 555]]
[[270 489]] , [[270 493]]
[[232 574]] , [[232 578]]
[[620 575]] , [[620 579]]
[[912 620]] , [[912 624]]
[[790 680]] , [[790 687]]
[[460 694]] , [[460 698]]
[[812 702]] , [[812 707]]
[[667 575]] , [[667 579]]
[[811 652]] , [[811 657]]
[[516 658]] , [[516 662]]
[[204 575]] , [[204 579]]
[[700 632]] , [[700 633]]
[[627 573]] , [[627 577]]
[[360 576]] , [[359 577]]
[[188 491]] , [[188 495]]
[[341 495]] , [[341 499]]
[[201 575]] , [[201 579]]
[[186 491]] , [[186 495]]
[[280 556]] , [[279 557]]
[[292 552]] , [[292 556]]
[[225 573]] , [[225 577]]
[[582 630]] , [[582 634]]
[[446 573]] , [[446 577]]
[[578 650]] , [[578 655]]
[[329 576]] , [[329 580]]
[[908 624]] , [[908 628]]
[[463 575]] , [[463 579]]
[[492 672]] , [[492 679]]
[[814 690]] , [[814 695]]
[[622 664]] , [[622 671]]
[[702 632]] , [[702 636]]
[[886 640]] , [[886 641]]
[[486 653]] , [[486 657]]
[[541 662]] , [[541 666]]
[[632 622]] , [[632 626]]
[[451 575]] , [[451 579]]
[[365 574]] , [[365 578]]
[[628 624]] , [[628 631]]
[[254 558]] , [[254 562]]
[[771 555]] , [[771 559]]
[[242 489]] , [[242 493]]
[[207 573]] , [[206 574]]
[[141 462]] , [[141 466]]
[[771 555]] , [[771 559]]
[[603 573]] , [[603 577]]
[[652 676]] , [[652 681]]
[[494 678]] , [[494 682]]
[[663 668]] , [[663 670]]
[[797 652]] , [[797 657]]
[[662 669]] , [[662 673]]
[[200 573]] , [[200 577]]
[[194 556]] , [[194 560]]
[[198 573]] , [[198 577]]
[[188 489]] , [[188 493]]
[[414 552]] , [[414 556]]
[[203 573]] , [[203 577]]
[[382 552]] , [[382 556]]
[[571 575]] , [[571 579]]
[[400 525]] , [[400 529]]
[[545 635]] , [[545 639]]
[[749 632]] , [[749 636]]
[[525 669]] , [[525 673]]
[[508 632]] , [[508 636]]
[[690 636]] , [[690 640]]
[[307 574]] , [[307 578]]
[[583 622]] , [[583 631]]
[[578 622]] , [[578 623]]
[[206 574]] , [[205 575]]
[[546 624]] , [[546 628]]
[[510 655]] , [[510 659]]
[[305 573]] , [[305 577]]
[[706 634]] , [[706 638]]
[[343 575]] , [[343 579]]
[[620 575]] , [[620 579]]
[[448 575]] , [[448 579]]
[[166 562]] , [[166 567]]
[[750 628]] , [[750 632]]
[[553 632]] , [[553 635]]
[[306 573]] , [[306 577]]
[[359 573]] , [[357 575]]
[[585 575]] , [[585 579]]
[[548 636]] , [[548 641]]
[[894 121]] , [[894 125]]
[[975 121]] , [[975 125]]
[[195 460]] , [[195 464]]
[[809 489]] , [[809 493]]
[[350 491]] , [[350 495]]
[[183 572]] , [[183 576]]
[[254 456]] , [[254 460]]
[[661 489]] , [[661 493]]
[[1051  123]] , [[1051  127]]
[[1032  121]] , [[1032  125]]
[[742 121]] , [[742 125]]
[[832 121]] , [[832 125]]
[[722 355]] , [[722 359]]
[[718 355]] , [[718 359]]
[[673 351]] , [[673 355]]
[[ 98 359]] , [[ 98 363]]
[[ 75 359]] , [[ 75 363]]
[[286 456]] , [[286 460]]
[[133 487]] , [[133 491]]
[[1040  123]] , [[1040  127]]
[[209 487]] , [[209 491]]
[[1026  120]] , [[1026  124]]
[[535 575]] , [[535 579]]
[[205 573]] , [[204 574]]
[[487 573]] , [[487 577]]
[[526 556]] , [[526 560]]
[[694 491]] , [[694 495]]
[[224 487]] , [[224 491]]
[[312 456]] , [[312 460]]
[[126 462]] , [[126 466]]
[[ 16 359]] , [[ 16 363]]
[[704 487]] , [[704 490]]
[[909 123]] , [[909 127]]
[[672 487]] , [[672 491]]
[[1017  121]] , [[1017  125]]
[[188 460]] , [[188 464]]
[[812 487]] , [[812 491]]
[[141 464]] , [[141 468]]
[[982 123]] , [[982 127]]
[[857 121]] , [[857 125]]
[[795 123]] , [[795 127]]
[[784 125]] , [[784 129]]
[[1059  121]] , [[1059  125]]
[[984 125]] , [[984 129]]
[[795 125]] , [[795 129]]
[[862 115]] , [[862 119]]
