[[140 358]] , [[140 362]]
[[257 844]] , [[258 843]]
[[829 853]] , [[830 852]]
[[ 620 1029]] , [[ 621 1028]]
[[676 607]] , [[676 608]]
[[213 836]] , [[212 837]]
[[803 836]] , [[803 839]]
[[285 843]] , [[286 842]]
[[620 880]] , [[621 879]]
[[ 407 1091]] , [[ 408 1090]]
[[388 864]] , [[389 863]]
[[777 835]] , [[777 839]]
[[227 620]] , [[227 624]]
[[248 551]] , [[246 553]]
[[677 570]] , [[677 574]]
[[832 483]] , [[832 487]]
[[164 559]] , [[163 560]]
[[189 487]] , [[189 491]]
[[ 97 355]] , [[ 96 356]]
[[1053  118]] , [[1053  122]]
[[1004  118]] , [[1004  122]]
[[365 489]] , [[364 490]]
[[259 488]] , [[259 492]]
[[883 117]] , [[883 121]]
[[ 95 356]] , [[ 95 360]]
[[ 44 357]] , [[ 43 358]]
[[121 357]] , [[121 361]]
[[102 356]] , [[102 360]]
[[131 487]] , [[130 488]]
[[186 356]] , [[186 360]]
[[496 488]] , [[496 492]]
[[174 488]] , [[174 492]]
[[155 357]] , [[155 361]]
[[ 84 303]] , [[ 84 307]]
[[143 462]] , [[143 466]]
[[493 490]] , [[493 494]]
[[ 92 457]] , [[ 91 458]]
[[551 489]] , [[550 490]]
[[140 356]] , [[140 360]]
[[ 78 303]] , [[ 78 307]]
[[ 97 359]] , [[ 97 363]]
[[981 122]] , [[981 126]]
[[844 123]] , [[844 128]]
[[105 359]] , [[104 360]]
[[ 56 360]] , [[ 56 364]]
[[133 358]] , [[133 362]]
[[213 489]] , [[213 493]]
[[810 122]] , [[810 126]]
[[1021  120]] , [[1021  124]]
[[1044  122]] , [[1044  126]]
[[ 71 358]] , [[ 71 362]]
[[141 485]] , [[141 489]]
[[189 485]] , [[189 489]]
[[1021  119]] , [[1021  123]]
[[1006  120]] , [[1005  121]]
[[986 122]] , [[986 126]]
[[979 122]] , [[979 126]]
[[140 358]] , [[140 362]]
[[140 358]] , [[140 362]]
[[257 844]] , [[258 843]]
[[829 853]] , [[830 852]]
[[ 620 1029]] , [[ 621 1028]]
[[676 607]] , [[676 608]]
[[213 836]] , [[212 837]]
[[803 836]] , [[803 839]]
[[285 843]] , [[286 842]]
[[620 880]] , [[621 879]]
[[ 407 1091]] , [[ 408 1090]]
[[388 864]] , [[389 863]]
[[777 835]] , [[777 839]]
[[227 620]] , [[227 624]]
[[248 551]] , [[246 553]]
[[677 570]] , [[677 574]]
[[832 483]] , [[832 487]]
[[164 559]] , [[163 560]]
[[189 487]] , [[189 491]]
[[ 97 355]] , [[ 96 356]]
[[1053  118]] , [[1053  122]]
[[1004  118]] , [[1004  122]]
[[365 489]] , [[364 490]]
[[ 409 1107]] , [[ 410 1106]]
[[ 511 1194]] , [[ 512 1193]]
[[ 640 1258]] , [[ 653 1258]]
[[ 404 1196]] , [[ 405 1195]]
[[ 409 1134]] , [[ 410 1133]]
[[431 838]] , [[430 839]]
[[397 997]] , [[398 996]]
[[ 406 1167]] , [[ 407 1166]]
[[ 420 1298]] , [[ 421 1297]]
[[ 538 1090]] , [[ 539 1089]]
[[ 337 1013]] , [[ 338 1012]]
[[ 525 1196]] , [[ 526 1195]]
[[389 919]] , [[390 918]]
[[343 840]] , [[366 840]]
[[659 840]] , [[662 840]]
[[782 701]] , [[781 702]]
[[462 713]] , [[461 714]]
[[332 709]] , [[331 710]]
[[866 659]] , [[865 660]]
[[750 685]] , [[749 686]]
[[870 653]] , [[869 654]]
[[718 685]] , [[717 686]]
[[665 674]] , [[666 673]]
[[562 649]] , [[561 650]]
[[712 709]] , [[711 710]]
[[848 671]] , [[848 676]]
[[478 685]] , [[477 686]]
[[408 717]] , [[407 718]]
[[1072  726]] , [[1072  727]]
[[283 690]] , [[284 689]]
[[234 683]] , [[233 684]]
[[288 701]] , [[288 705]]
[[539 644]] , [[540 643]]
[[760 569]] , [[760 573]]
[[717 572]] , [[717 576]]
[[574 713]] , [[573 714]]
[[552 749]] , [[552 753]]
[[693 713]] , [[691 715]]
[[632 731]] , [[631 732]]
[[510 717]] , [[509 718]]
[[784 697]] , [[783 698]]
[[464 707]] , [[461 710]]
[[763 703]] , [[763 710]]
[[705 706]] , [[706 705]]
[[670 729]] , [[669 730]]
[[796 711]] , [[795 712]]
[[717 753]] , [[717 754]]
[[818 693]] , [[815 696]]
[[828 697]] , [[827 698]]
[[785 689]] , [[784 690]]
[[828 697]] , [[827 698]]
[[577 706]] , [[578 705]]
[[527 715]] , [[527 716]]
[[665 760]] , [[666 759]]
[[733 718]] , [[733 722]]
[[598 735]] , [[597 736]]
[[575 747]] , [[574 748]]
[[386 794]] , [[387 793]]
[[563 754]] , [[564 753]]
[[598 735]] , [[597 736]]
[[693 728]] , [[693 735]]
[[750 710]] , [[750 714]]
[[632 729]] , [[631 730]]
[[632 729]] , [[631 730]]
[[722 763]] , [[721 764]]
[[625 778]] , [[626 777]]
[[588 731]] , [[587 732]]
[[714 751]] , [[713 752]]
[[667 729]] , [[667 730]]
[[336 778]] , [[336 779]]
[[556 759]] , [[555 760]]
[[652 749]] , [[651 750]]
[[742 841]] , [[743 840]]
[[362 842]] , [[363 841]]
[[571 749]] , [[569 751]]
[[450 851]] , [[451 850]]
[[474 845]] , [[475 844]]
[[372 803]] , [[373 802]]
[[760 751]] , [[759 752]]
[[430 777]] , [[430 782]]
[[494 770]] , [[494 776]]
[[467 858]] , [[468 857]]
[[386 859]] , [[387 858]]
[[662 864]] , [[663 863]]
[[672 754]] , [[673 753]]
[[364 867]] , [[365 866]]
[[420 851]] , [[431 851]]
[[364 885]] , [[365 884]]
[[703 749]] , [[703 750]]
[[502 887]] , [[503 886]]
[[562 860]] , [[563 859]]
[[378 771]] , [[378 773]]
[[464 764]] , [[464 765]]
[[758 845]] , [[759 845]]
[[421 858]] , [[428 858]]
[[375 842]] , [[378 842]]
[[703 747]] , [[703 748]]
[[560 749]] , [[559 750]]
[[518 752]] , [[518 757]]
[[618 773]] , [[617 774]]
[[410 787]] , [[411 786]]
[[433 770]] , [[434 769]]
[[641 802]] , [[642 801]]
[[493 768]] , [[494 767]]
[[618 773]] , [[617 774]]
[[552 759]] , [[551 760]]
[[660 798]] , [[661 797]]
[[643 802]] , [[644 801]]
[[526 761]] , [[525 762]]
[[322 768]] , [[322 772]]
[[539 799]] , [[540 798]]
[[350 818]] , [[351 817]]
[[568 755]] , [[569 754]]
[[528 761]] , [[527 762]]
[[391 840]] , [[392 840]]
[[430 765]] , [[429 766]]
[[402 757]] , [[402 763]]
[[580 737]] , [[579 738]]
[[385 764]] , [[383 766]]
[[695 737]] , [[695 744]]
[[690 789]] , [[689 790]]
[[668 785]] , [[667 786]]
[[636 765]] , [[635 766]]
[[372 809]] , [[373 808]]
[[398 756]] , [[398 763]]
[[694 820]] , [[694 833]]
[[477 758]] , [[477 769]]
[[417 746]] , [[418 745]]
[[638 747]] , [[637 748]]
[[734 749]] , [[733 750]]
[[490 733]] , [[489 734]]
[[118 848]] , [[119 847]]
[[453 760]] , [[453 765]]
[[663 835]] , [[664 834]]
[[334 835]] , [[335 835]]
[[453 760]] , [[453 765]]
[[453 760]] , [[453 765]]
[[721 735]] , [[721 736]]
[[334 835]] , [[335 834]]
[[354 819]] , [[355 818]]
[[465 786]] , [[466 785]]
[[722 740]] , [[723 739]]
[[657 856]] , [[658 855]]
[[405 884]] , [[407 886]]
[[334 777]] , [[333 778]]
[[465 786]] , [[466 785]]
[[626 765]] , [[625 766]]
[[675 756]] , [[676 755]]
[[500 768]] , [[501 767]]
[[563 753]] , [[562 754]]
[[593 770]] , [[594 769]]
[[493 763]] , [[493 767]]
[[352 841]] , [[353 840]]
[[391 767]] , [[391 768]]
[[480 793]] , [[476 797]]
[[449 768]] , [[450 767]]
[[568 800]] , [[569 799]]
[[232 849]] , [[233 848]]
[[537 851]] , [[538 850]]
[[730 848]] , [[731 847]]
[[330 857]] , [[331 856]]
[[568 861]] , [[569 860]]
[[163 842]] , [[168 842]]
[[530 847]] , [[531 846]]
[[785 701]] , [[785 702]]
[[370 741]] , [[370 745]]
[[398 821]] , [[398 826]]
[[769 715]] , [[769 716]]
[[417 754]] , [[418 753]]
[[529 762]] , [[530 761]]
[[446 751]] , [[445 752]]
[[334 835]] , [[335 835]]
[[676 685]] , [[675 686]]
[[332 717]] , [[332 721]]
[[384 733]] , [[383 734]]
[[310 705]] , [[309 706]]
[[491 850]] , [[500 850]]
[[420 749]] , [[419 750]]
[[574 735]] , [[573 736]]
[[441 765]] , [[442 764]]
[[478 735]] , [[477 736]]
[[769 729]] , [[767 731]]
[[786 691]] , [[787 690]]
[[646 675]] , [[645 676]]
[[678 723]] , [[677 724]]
[[678 723]] , [[677 724]]
[[435 738]] , [[436 737]]
[[435 740]] , [[436 739]]
[[542 747]] , [[541 748]]
[[473 746]] , [[474 745]]
[[556 751]] , [[555 752]]
[[366 737]] , [[365 738]]
[[768 763]] , [[767 764]]
[[556 751]] , [[555 752]]
[[717 734]] , [[717 738]]
[[342 731]] , [[342 738]]
[[342 731]] , [[342 738]]
[[472 733]] , [[469 736]]
[[560 669]] , [[559 670]]
[[806 687]] , [[806 693]]
[[384 717]] , [[384 724]]
[[380 743]] , [[380 747]]
[[687 701]] , [[686 702]]
[[376 751]] , [[375 752]]
[[473 746]] , [[474 745]]
[[673 706]] , [[674 705]]
[[773 682]] , [[773 686]]
[[700 734]] , [[699 735]]
[[799 708]] , [[800 707]]
[[662 693]] , [[661 694]]
[[863 663]] , [[863 667]]
[[481 682]] , [[482 681]]
[[652 671]] , [[651 672]]
[[311 717]] , [[311 721]]
[[508 703]] , [[507 704]]
[[672 731]] , [[671 732]]
[[560 669]] , [[559 670]]
[[560 669]] , [[559 670]]
[[516 639]] , [[516 643]]
[[614 729]] , [[613 730]]
[[350 801]] , [[348 803]]
[[601 738]] , [[602 737]]
[[542 745]] , [[541 746]]
[[655 705]] , [[655 706]]
[[501 749]] , [[501 751]]
[[353 741]] , [[353 745]]
[[560 755]] , [[558 757]]
[[683 738]] , [[684 737]]
[[789 708]] , [[789 712]]
[[747 748]] , [[748 747]]
[[683 738]] , [[684 737]]
[[675 731]] , [[675 732]]
[[729 740]] , [[730 739]]
[[675 731]] , [[675 732]]
[[513 855]] , [[514 854]]
[[329 719]] , [[329 723]]
[[380 759]] , [[379 760]]
[[322 721]] , [[321 722]]
[[322 721]] , [[321 722]]
[[562 751]] , [[561 752]]
[[608 749]] , [[607 750]]
[[764 737]] , [[764 740]]
[[612 701]] , [[611 702]]
[[589 744]] , [[590 743]]
[[697 699]] , [[697 700]]
[[689 651]] , [[689 655]]
[[822 654]] , [[822 671]]
[[673 682]] , [[673 688]]
[[822 654]] , [[822 665]]
[[564 673]] , [[565 673]]
[[709 573]] , [[708 574]]
[[765 633]] , [[765 637]]
[[781 635]] , [[781 639]]
[[584 623]] , [[584 627]]
[[568 630]] , [[568 634]]
[[653 719]] , [[653 728]]
[[843 664]] , [[843 670]]
[[710 635]] , [[709 636]]
[[700 639]] , [[698 641]]
[[ 22 686]] , [[ 22 690]]
[[750 631]] , [[749 632]]
[[688 645]] , [[687 646]]
[[826 643]] , [[825 644]]
[[835 663]] , [[835 672]]
[[242 735]] , [[242 740]]
[[577 738]] , [[578 737]]
[[640 748]] , [[639 749]]
[[632 753]] , [[647 753]]
[[495 740]] , [[496 739]]
[[534 709]] , [[533 710]]
[[622 725]] , [[621 726]]
[[671 748]] , [[671 750]]
[[635 755]] , [[636 754]]
[[667 756]] , [[668 755]]
[[627 721]] , [[633 721]]
[[486 733]] , [[484 735]]
[[691 724]] , [[691 728]]
[[617 788]] , [[618 787]]
[[509 752]] , [[509 757]]
[[606 779]] , [[605 780]]
[[650 755]] , [[651 754]]
[[631 754]] , [[632 753]]
[[660 767]] , [[661 767]]
[[630 819]] , [[631 818]]
[[628 749]] , [[627 750]]
[[522 701]] , [[521 702]]
[[632 730]] , [[630 732]]
[[663 701]] , [[661 703]]
[[662 700]] , [[662 705]]
[[642 823]] , [[643 822]]
[[665 734]] , [[665 738]]
[[489 846]] , [[490 846]]
[[462 805]] , [[462 809]]
[[462 805]] , [[462 809]]
[[426 908]] , [[427 907]]
[[530 797]] , [[529 798]]
[[488 841]] , [[489 840]]
[[656 718]] , [[655 719]]
[[524 737]] , [[524 741]]
[[627 802]] , [[628 801]]
[[512 735]] , [[511 736]]
[[649 746]] , [[650 745]]
[[542 753]] , [[541 754]]
[[586 733]] , [[585 734]]
[[438 739]] , [[437 740]]
[[474 739]] , [[474 743]]
[[474 739]] , [[474 743]]
[[657 746]] , [[658 745]]
[[379 751]] , [[379 755]]
[[679 757]] , [[677 759]]
[[379 751]] , [[379 755]]
[[586 731]] , [[585 732]]
[[499 746]] , [[499 753]]
[[659 652]] , [[659 656]]
[[654 649]] , [[653 650]]
[[586 731]] , [[585 732]]
[[398 743]] , [[395 746]]
[[348 759]] , [[347 760]]
[[272 703]] , [[272 707]]
[[679 739]] , [[679 746]]
[[664 645]] , [[664 646]]
[[686 687]] , [[686 691]]
[[661 735]] , [[659 737]]
[[668 706]] , [[668 710]]
[[552 687]] , [[549 690]]
[[346 739]] , [[346 743]]
[[524 747]] , [[523 748]]
[[671 731]] , [[671 732]]
[[689 740]] , [[690 739]]
[[646 691]] , [[645 692]]
[[661 687]] , [[661 689]]
[[685 731]] , [[684 732]]
[[606 669]] , [[605 670]]
[[649 690]] , [[650 689]]
[[790 687]] , [[789 688]]
[[284 703]] , [[284 707]]
[[660 737]] , [[659 738]]
[[677 684]] , [[677 688]]
[[554 613]] , [[553 614]]
[[665 739]] , [[666 738]]
[[686 697]] , [[686 701]]
[[725 734]] , [[725 738]]
[[727 734]] , [[727 738]]
[[680 633]] , [[679 634]]
[[940 663]] , [[939 664]]
[[680 635]] , [[679 636]]
[[677 684]] , [[677 704]]
[[934 683]] , [[934 687]]
[[882 629]] , [[879 632]]
[[488 633]] , [[488 637]]
[[680 637]] , [[680 641]]
[[948 667]] , [[948 671]]
[[672 654]] , [[672 658]]
[[686 656]] , [[685 657]]
[[487 570]] , [[486 571]]
[[488 633]] , [[488 637]]
[[674 639]] , [[673 640]]
[[927 683]] , [[928 682]]
[[707 687]] , [[707 691]]
[[612 572]] , [[612 576]]
[[730 572]] , [[730 576]]
[[794 637]] , [[794 641]]
[[832 639]] , [[831 640]]
[[689 773]] , [[689 778]]
[[946 667]] , [[946 671]]
[[768 677]] , [[768 684]]
[[250 675]] , [[249 676]]
[[336 778]] , [[336 779]]
[[687 697]] , [[686 698]]
[[701 722]] , [[701 726]]
[[652 681]] , [[651 682]]
[[702 721]] , [[702 725]]
[[720 675]] , [[720 680]]
[[686 669]] , [[686 673]]
[[847 657]] , [[847 660]]
[[814 671]] , [[814 678]]
[[746 671]] , [[746 674]]
[[850 658]] , [[850 663]]
[[828 662]] , [[828 663]]
[[715 655]] , [[715 662]]
[[880 625]] , [[879 626]]
[[816 677]] , [[816 683]]
[[750 631]] , [[749 632]]
[[296 715]] , [[295 716]]
[[632 667]] , [[631 668]]
[[736 643]] , [[735 644]]
[[514 561]] , [[513 562]]
[[352 563]] , [[351 564]]
[[336 563]] , [[335 564]]
[[334 760]] , [[334 765]]
[[896 643]] , [[896 647]]
[[609 580]] , [[607 582]]
[[741 747]] , [[741 752]]
[[706 746]] , [[705 747]]
[[683 726]] , [[683 736]]
[[628 679]] , [[627 680]]
[[824 654]] , [[824 658]]
[[784 633]] , [[783 634]]
[[809 668]] , [[808 669]]
[[525 649]] , [[525 656]]
[[570 574]] , [[570 578]]
[[642 658]] , [[641 659]]
[[660 737]] , [[661 736]]
[[823 676]] , [[823 680]]
[[684 574]] , [[684 578]]
[[675 730]] , [[676 729]]
[[680 747]] , [[680 750]]
[[755 750]] , [[755 754]]
[[651 681]] , [[650 682]]
[[825 670]] , [[825 674]]
[[658 733]] , [[656 735]]
[[639 715]] , [[637 717]]
[[593 722]] , [[594 721]]
[[602 635]] , [[602 637]]
[[668 635]] , [[668 637]]
[[537 750]] , [[538 749]]
[[557 682]] , [[558 681]]
[[597 639]] , [[604 639]]
[[638 627]] , [[639 626]]
[[838 643]] , [[838 647]]
[[526 652]] , [[524 654]]
[[498 655]] , [[498 659]]
[[588 651]] , [[587 652]]
[[609 657]] , [[610 656]]
[[726 627]] , [[725 628]]
[[588 635]] , [[587 636]]
[[810 639]] , [[810 643]]
