[[ 630 1137]] , [[ 631 1136]]
[[ 291 1017]] , [[ 292 1016]]
[[ 606 1147]] , [[ 605 1148]]
[[ 610 1082]] , [[ 610 1084]]
[[ 616 1305]] , [[ 617 1304]]
[[ 698 1009]] , [[ 699 1008]]
[[188 947]] , [[188 966]]
[[188 947]] , [[188 956]]
[[ 185 1016]] , [[ 185 1020]]
[[ 185 1016]] , [[ 185 1020]]
[[ 196 1121]] , [[ 197 1120]]
[[ 820 1107]] , [[ 819 1108]]
[[ 280 1165]] , [[ 279 1166]]
[[830 893]] , [[829 894]]
[[421 933]] , [[421 937]]
[[188 948]] , [[189 947]]
[[413 995]] , [[414 994]]
[[188 949]] , [[189 948]]
[[668 851]] , [[667 852]]
[[396 901]] , [[397 900]]
[[662 813]] , [[661 814]]
[[318 853]] , [[317 854]]
[[652 861]] , [[651 862]]
[[398 893]] , [[399 892]]
[[398 893]] , [[399 892]]
[[413 805]] , [[413 809]]
[[756 834]] , [[756 838]]
[[756 834]] , [[756 838]]
[[276 849]] , [[275 850]]
[[471 829]] , [[471 833]]
[[583 843]] , [[584 842]]
[[661 796]] , [[661 798]]
[[391 953]] , [[392 952]]
[[499 854]] , [[508 854]]
[[372 852]] , [[373 851]]
[[391 903]] , [[392 902]]
[[179 880]] , [[180 879]]
[[170 863]] , [[170 868]]
[[406 909]] , [[407 908]]
[[179 863]] , [[179 864]]
[[769 833]] , [[768 834]]
[[764 840]] , [[765 839]]
[[644 817]] , [[642 819]]
[[408 932]] , [[409 931]]
[[185 834]] , [[184 835]]
[[187 892]] , [[188 891]]
[[284 853]] , [[285 852]]
[[445 860]] , [[446 859]]
[[772 842]] , [[773 841]]
[[372 851]] , [[373 850]]
[[407 899]] , [[408 898]]
[[381 860]] , [[382 859]]
[[387 876]] , [[388 875]]
[[169 833]] , [[169 838]]
[[408 892]] , [[409 891]]
[[170 837]] , [[170 842]]
[[391 902]] , [[392 901]]
[[681 835]] , [[681 839]]
[[378 809]] , [[375 812]]
[[177 878]] , [[178 877]]
[[396 922]] , [[397 921]]
[[443 844]] , [[446 844]]
[[388 902]] , [[389 901]]
[[390 935]] , [[391 934]]
[[402 965]] , [[403 964]]
[[485 840]] , [[484 841]]
[[387 930]] , [[388 929]]
[[162 847]] , [[162 856]]
[[160 846]] , [[160 850]]
[[794 839]] , [[793 840]]
[[603 856]] , [[610 856]]
[[601 856]] , [[604 856]]
[[229 862]] , [[229 866]]
[[171 872]] , [[172 871]]
[[786 839]] , [[785 840]]
[[152 847]] , [[152 858]]
[[367 818]] , [[367 822]]
[[152 861]] , [[152 866]]
[[226 861]] , [[226 865]]
[[812 893]] , [[811 894]]
[[149 862]] , [[149 866]]
[[ 630 1137]] , [[ 631 1136]]
[[ 630 1137]] , [[ 631 1136]]
[[ 291 1017]] , [[ 292 1016]]
[[ 606 1147]] , [[ 605 1148]]
[[ 610 1082]] , [[ 610 1084]]
[[ 616 1305]] , [[ 617 1304]]
[[ 698 1009]] , [[ 699 1008]]
[[188 947]] , [[188 966]]
[[188 947]] , [[188 956]]
[[ 185 1016]] , [[ 185 1020]]
[[ 185 1016]] , [[ 185 1020]]
[[ 196 1121]] , [[ 197 1120]]
[[ 820 1107]] , [[ 819 1108]]
[[ 280 1165]] , [[ 279 1166]]
[[830 893]] , [[829 894]]
[[421 933]] , [[421 937]]
[[188 948]] , [[189 947]]
[[413 995]] , [[414 994]]
[[188 949]] , [[189 948]]
[[668 851]] , [[667 852]]
[[396 901]] , [[397 900]]
[[662 813]] , [[661 814]]
[[318 853]] , [[317 854]]
[[ 606 1147]] , [[ 605 1148]]
[[ 282 1185]] , [[ 283 1184]]
[[ 192 1135]] , [[ 192 1150]]
[[ 818 1156]] , [[ 819 1155]]
[[ 334 1164]] , [[ 334 1170]]
[[ 217 1173]] , [[ 218 1172]]
[[ 688 1177]] , [[ 687 1178]]
[[ 778 1199]] , [[ 777 1200]]
[[ 353 1186]] , [[ 353 1190]]
[[ 798 1141]] , [[ 797 1142]]
[[ 357 1170]] , [[ 358 1170]]
[[ 228 1180]] , [[ 229 1179]]
[[ 234 1235]] , [[ 235 1234]]
[[ 430 1023]] , [[ 429 1024]]
[[ 198 1035]] , [[ 199 1034]]
[[632 907]] , [[631 908]]
[[ 413 1003]] , [[ 414 1002]]
[[180 867]] , [[181 866]]
[[ 199 1047]] , [[ 200 1046]]
[[824 837]] , [[823 838]]
[[1072  848]] , [[1072  856]]
[[827 853]] , [[827 865]]
[[362 849]] , [[361 850]]
[[194 942]] , [[195 941]]
[[627 882]] , [[627 886]]
[[627 882]] , [[627 886]]
[[394 949]] , [[394 956]]
[[175 909]] , [[175 913]]
[[230 993]] , [[229 994]]
[[276 849]] , [[275 850]]
[[176 849]] , [[176 856]]
[[185 891]] , [[186 890]]
[[624 874]] , [[623 875]]
[[686 797]] , [[686 801]]
[[641 863]] , [[641 864]]
[[288 851]] , [[287 852]]
[[175 907]] , [[175 914]]
[[195 961]] , [[196 960]]
[[192 915]] , [[191 916]]
[[626 872]] , [[625 873]]
[[752 839]] , [[753 838]]
[[752 840]] , [[753 839]]
[[680 855]] , [[679 856]]
[[175 905]] , [[175 909]]
[[636 909]] , [[635 910]]
[[682 855]] , [[679 858]]
[[372 852]] , [[373 851]]
[[169 833]] , [[169 846]]
