[[1077   94]] , [[1070  101]]
[[303 457]] , [[303 461]]
[[141 464]] , [[141 468]]
[[146 487]] , [[146 491]]
[[160 487]] , [[160 491]]
[[167 461]] , [[167 465]]
[[121 360]] , [[121 364]]
[[857 121]] , [[856 122]]
[[746 122]] , [[746 126]]
[[882 121]] , [[882 125]]
[[970 121]] , [[970 125]]
[[1042  123]] , [[1042  127]]
[[161 464]] , [[161 468]]
[[ 12 360]] , [[ 12 364]]
[[1042  123]] , [[1042  127]]
[[907 122]] , [[907 126]]
[[847 122]] , [[847 126]]
[[703 122]] , [[703 126]]
[[926 123]] , [[926 127]]
[[173 461]] , [[173 463]]
[[663 491]] , [[662 492]]
[[784 123]] , [[784 127]]
[[144 359]] , [[144 360]]
[[ 19 364]] , [[ 19 368]]
[[926 125]] , [[926 129]]
[[802 495]] , [[802 499]]
[[924 125]] , [[924 129]]
[[904 125]] , [[904 129]]
[[1059  121]] , [[1059  125]]
[[120 364]] , [[120 368]]
[[996 127]] , [[996 131]]
[[545 498]] , [[545 502]]
[[896 362]] , [[896 366]]
[[123 463]] , [[122 464]]
[[1022  117]] , [[1022  121]]
[[880 105]] , [[880 109]]
[[1063   99]] , [[1063  100]]
[[189 473]] , [[189 475]]
[[179 478]] , [[179 482]]
[[326 542]] , [[326 546]]
[[909 113]] , [[908 114]]
[[909 113]] , [[908 114]]
[[798 113]] , [[798 117]]
[[ 94 453]] , [[ 94 457]]
[[880 111]] , [[880 115]]
[[ 80 459]] , [[ 80 463]]
[[996 109]] , [[996 110]]
[[1061  107]] , [[1061  108]]
[[732 111]] , [[732 115]]
[[114 477]] , [[114 481]]
[[868 112]] , [[868 116]]
[[173 349]] , [[172 350]]
[[886 112]] , [[886 116]]
[[768 107]] , [[768 111]]
[[1048  113]] , [[1048  117]]
[[1042  112]] , [[1041  113]]
[[1042  112]] , [[1041  113]]
[[815 482]] , [[815 486]]
[[729 477]] , [[729 481]]
[[ 93 451]] , [[ 92 452]]
[[985 112]] , [[985 116]]
[[ 59 351]] , [[ 58 352]]
[[ 91 350]] , [[ 91 354]]
[[159 453]] , [[158 454]]
[[ 87 295]] , [[ 86 296]]
[[651 351]] , [[651 355]]
[[660 118]] , [[660 122]]
[[1040  121]] , [[1040  125]]
[[1063  113]] , [[1063  114]]
[[752 121]] , [[752 125]]
[[182 460]] , [[182 464]]
[[778 121]] , [[778 125]]
[[ 75 360]] , [[ 75 364]]
[[ 84 473]] , [[ 84 477]]
[[409 551]] , [[409 555]]
[[534 554]] , [[534 558]]
[[205 489]] , [[205 493]]
[[ 84 473]] , [[ 84 477]]
[[938 121]] , [[938 125]]
[[147 358]] , [[147 362]]
[[158 485]] , [[158 489]]
[[143 358]] , [[143 362]]
[[202 457]] , [[202 461]]
[[424 573]] , [[424 577]]
[[315 573]] , [[315 577]]
[[346 573]] , [[346 577]]
[[329 554]] , [[329 558]]
[[129 485]] , [[129 489]]
[[245 487]] , [[245 491]]
[[687 351]] , [[687 355]]
[[774 852]] , [[774 857]]
[[736 869]] , [[734 871]]
[[213 902]] , [[212 903]]
[[801 911]] , [[801 915]]
[[740 849]] , [[740 853]]
[[651 853]] , [[651 857]]
[[804 889]] , [[804 893]]
[[239 864]] , [[239 876]]
[[239 864]] , [[239 876]]
[[180 906]] , [[180 910]]
[[615 890]] , [[615 894]]
[[617 896]] , [[617 900]]
[[643 855]] , [[643 859]]
[[597 780]] , [[597 785]]
[[260 573]] , [[260 577]]
[[749 685]] , [[749 689]]
[[652 573]] , [[652 577]]
[[562 648]] , [[562 649]]
[[164 560]] , [[164 567]]
[[606 679]] , [[606 683]]
[[606 670]] , [[606 674]]
[[912 616]] , [[912 620]]
[[645 550]] , [[645 554]]
[[588 550]] , [[588 554]]
[[633 550]] , [[633 554]]
[[210 571]] , [[210 575]]
[[413 550]] , [[413 554]]
[[427 571]] , [[425 573]]
[[751 569]] , [[751 573]]
[[752 648]] , [[752 653]]
[[502 573]] , [[502 577]]
[[478 682]] , [[478 683]]
[[590 550]] , [[590 554]]
[[773 487]] , [[773 491]]
[[532 491]] , [[532 495]]
[[668 458]] , [[668 462]]
[[380 573]] , [[380 577]]
[[797 651]] , [[797 655]]
[[590 695]] , [[590 699]]
[[514 682]] , [[514 687]]
[[514 684]] , [[514 689]]
[[622 575]] , [[622 579]]
[[238 576]] , [[237 577]]
[[270 573]] , [[269 574]]
[[464 577]] , [[464 581]]
[[511 573]] , [[509 575]]
[[214 556]] , [[214 560]]
[[646 553]] , [[646 557]]
[[449 573]] , [[449 574]]
[[306 554]] , [[305 555]]
[[687 554]] , [[687 558]]
[[393 491]] , [[393 495]]
[[649 574]] , [[649 578]]
[[612 552]] , [[612 556]]
[[622 575]] , [[622 579]]
[[781 634]] , [[780 635]]
[[725 637]] , [[725 641]]
[[599 573]] , [[599 577]]
[[576 618]] , [[576 623]]
[[656 572]] , [[655 573]]
[[850 668]] , [[850 671]]
[[656 572]] , [[655 573]]
[[564 654]] , [[564 658]]
[[604 573]] , [[604 577]]
[[574 618]] , [[574 623]]
[[487 491]] , [[487 495]]
[[564 656]] , [[564 660]]
[[790 650]] , [[790 655]]
[[558 634]] , [[558 641]]
[[590 652]] , [[588 654]]
[[541 652]] , [[541 655]]
[[562 669]] , [[562 673]]
[[531 699]] , [[531 703]]
[[586 652]] , [[584 654]]
[[353 664]] , [[353 668]]
[[920 612]] , [[920 616]]
[[486 669]] , [[486 673]]
[[806 682]] , [[806 686]]
[[509 655]] , [[509 659]]
[[236 574]] , [[235 575]]
[[597 575]] , [[597 579]]
[[308 573]] , [[308 577]]
[[711 634]] , [[711 639]]
[[365 684]] , [[365 688]]
[[765 684]] , [[765 688]]
[[474 708]] , [[474 713]]
[[796 716]] , [[796 721]]
[[541 720]] , [[541 728]]
[[446 682]] , [[446 687]]
[[574 701]] , [[574 705]]
[[812 700]] , [[812 707]]
[[853 656]] , [[853 660]]
[[670 700]] , [[670 705]]
[[618 623]] , [[619 622]]
[[578 652]] , [[578 657]]
[[608 576]] , [[607 577]]
[[539 579]] , [[539 583]]
[[619 624]] , [[619 629]]
[[270 576]] , [[269 577]]
[[653 577]] , [[653 581]]
[[724 628]] , [[724 632]]
[[698 632]] , [[698 636]]
[[797 674]] , [[797 681]]
[[486 653]] , [[486 657]]
[[468 683]] , [[468 687]]
[[811 655]] , [[811 659]]
[[466 668]] , [[466 673]]
[[852 664]] , [[850 666]]
[[372 701]] , [[372 705]]
[[677 710]] , [[677 714]]
[[362 696]] , [[362 700]]
[[816 672]] , [[816 675]]
[[313 678]] , [[313 685]]
[[413 686]] , [[413 690]]
[[382 694]] , [[382 698]]
[[634 660]] , [[634 665]]
[[585 650]] , [[585 655]]
[[585 650]] , [[585 655]]
[[622 664]] , [[622 673]]
[[443 577]] , [[443 581]]
[[340 577]] , [[340 581]]
[[605 573]] , [[605 577]]
[[696 634]] , [[696 638]]
[[219 573]] , [[218 574]]
[[695 575]] , [[695 579]]
[[517 654]] , [[517 658]]
[[382 712]] , [[382 716]]
[[458 717]] , [[459 716]]
[[478 710]] , [[478 714]]
[[292 700]] , [[292 704]]
[[381 701]] , [[381 705]]
[[797 652]] , [[797 656]]
[[922 612]] , [[922 613]]
[[630 636]] , [[630 641]]
[[270 574]] , [[270 578]]
[[339 576]] , [[339 580]]
[[532 600]] , [[532 601]]
[[266 574]] , [[265 575]]
[[690 636]] , [[690 640]]
[[240 575]] , [[240 579]]
[[466 686]] , [[466 687]]
[[518 669]] , [[518 673]]
[[487 710]] , [[487 716]]
[[656 700]] , [[656 705]]
[[536 702]] , [[536 709]]
[[620 664]] , [[620 669]]
[[824 670]] , [[824 675]]
[[373 678]] , [[373 682]]
[[561 635]] , [[561 639]]
[[358 677]] , [[358 681]]
[[380 700]] , [[380 704]]
[[532 639]] , [[532 643]]
[[501 676]] , [[501 679]]
[[565 654]] , [[565 658]]
[[397 658]] , [[397 662]]
[[416 654]] , [[416 658]]
[[914 620]] , [[914 623]]
[[502 678]] , [[502 687]]
[[520 672]] , [[520 681]]
[[750 628]] , [[750 632]]
[[760 632]] , [[760 636]]
[[614 668]] , [[614 672]]
[[328 686]] , [[328 691]]
[[ 77 359]] , [[ 77 363]]
[[734 485]] , [[734 489]]
[[909 121]] , [[909 125]]
[[132 489]] , [[132 493]]
[[676 489]] , [[676 493]]
[[274 573]] , [[274 577]]
[[553 573]] , [[553 574]]
[[669 575]] , [[669 579]]
[[288 491]] , [[288 495]]
[[168 565]] , [[168 569]]
[[303 491]] , [[303 495]]
[[781 489]] , [[781 493]]
[[650 487]] , [[650 491]]
[[286 491]] , [[286 495]]
[[697 491]] , [[697 495]]
[[688 491]] , [[688 495]]
[[273 490]] , [[273 494]]
[[470 493]] , [[470 497]]
[[177 462]] , [[177 466]]
[[492 491]] , [[492 495]]
[[697 491]] , [[697 495]]
[[196 556]] , [[196 560]]
[[802 489]] , [[802 493]]
[[299 554]] , [[299 558]]
[[110 462]] , [[110 466]]
[[637 670]] , [[637 674]]
[[598 645]] , [[598 649]]
[[692 642]] , [[692 643]]
[[310 576]] , [[309 577]]
[[682 574]] , [[681 575]]
[[190 573]] , [[190 577]]
[[492 525]] , [[492 529]]
[[302 554]] , [[302 558]]
[[642 491]] , [[642 495]]
[[194 460]] , [[192 462]]
[[280 556]] , [[279 557]]
[[290 493]] , [[290 497]]
[[661 556]] , [[661 560]]
[[769 487]] , [[769 491]]
[[288 556]] , [[287 557]]
[[735 556]] , [[735 560]]
[[282 556]] , [[280 558]]
[[217 489]] , [[217 493]]
[[128 464]] , [[128 468]]
[[1044  123]] , [[1044  127]]
[[926 121]] , [[926 125]]
[[1025  119]] , [[1023  121]]
[[119 359]] , [[119 363]]
[[ 44 361]] , [[ 44 365]]
[[1061  117]] , [[1061  118]]
[[ 73 361]] , [[ 73 365]]
[[909 121]] , [[909 125]]
[[1016  123]] , [[1016  127]]
[[980 123]] , [[980 127]]
[[795 123]] , [[795 127]]
[[ 85 361]] , [[ 85 365]]
[[ 86 306]] , [[ 86 310]]
[[143 360]] , [[143 364]]
[[1052  122]] , [[1051  123]]
[[468 495]] , [[468 499]]
[[765 123]] , [[765 127]]
[[ 61 363]] , [[ 61 367]]
[[101 492]] , [[101 496]]
[[238 491]] , [[238 495]]
[[1022  124]] , [[1021  125]]
[[945 125]] , [[945 129]]
[[1059  121]] , [[1059  125]]
[[ 82 310]] , [[ 82 314]]
[[873 125]] , [[873 129]]
[[768 495]] , [[768 499]]
[[888 125]] , [[888 129]]
[[276 558]] , [[274 560]]
[[988 119]] , [[988 123]]
[[263 484]] , [[263 488]]
[[ 91 347]] , [[ 91 351]]
[[925 107]] , [[925 111]]
