[[925 116]] , [[925 120]]
[[133 356]] , [[132 357]]
[[664 117]] , [[664 121]]
[[1006  119]] , [[1006  123]]
[[566 452]] , [[566 456]]
[[892 119]] , [[892 123]]
[[338 453]] , [[338 457]]
[[ 79 303]] , [[ 78 304]]
[[855 119]] , [[854 120]]
[[990 119]] , [[990 123]]
[[669 118]] , [[669 122]]
[[171 357]] , [[170 358]]
[[888 119]] , [[888 123]]
[[1064  112]] , [[1063  113]]
[[740 119]] , [[740 123]]
[[157 357]] , [[156 358]]
[[ 36 357]] , [[ 36 361]]
[[908 119]] , [[908 123]]
[[799 119]] , [[798 120]]
[[ 44 308]] , [[ 44 312]]
[[ 44 308]] , [[ 44 312]]
[[955 121]] , [[954 122]]
[[321 455]] , [[321 459]]
[[248 489]] , [[248 493]]
[[158 358]] , [[158 362]]
[[957 121]] , [[957 125]]
[[263 455]] , [[263 459]]
[[473 454]] , [[473 458]]
[[1030  120]] , [[1028  122]]
[[471 453]] , [[471 457]]
[[928 121]] , [[928 125]]
[[  0 124]] , [[  0 128]]
[[344 455]] , [[344 459]]
[[926 121]] , [[926 125]]
[[1017  120]] , [[1017  124]]
[[141 490]] , [[141 494]]
[[1015  121]] , [[1015  125]]
[[913 120]] , [[913 124]]
[[183 459]] , [[180 462]]
[[730 355]] , [[730 359]]
[[741 120]] , [[741 124]]
[[619 120]] , [[619 124]]
[[113 461]] , [[113 465]]
[[970 121]] , [[970 125]]
[[369 455]] , [[369 459]]
[[909 120]] , [[909 124]]
[[369 455]] , [[369 459]]
[[1021  119]] , [[1020  120]]
[[989 121]] , [[988 122]]
[[746 119]] , [[746 123]]
[[1059  117]] , [[1059  118]]
[[649 351]] , [[649 355]]
[[855 119]] , [[855 123]]
[[1004  116]] , [[1003  117]]
[[780 594]] , [[780 601]]
[[935 313]] , [[935 316]]
[[813 596]] , [[813 601]]
[[517 605]] , [[517 609]]
[[814 484]] , [[814 488]]
[[ 78 357]] , [[ 78 361]]
[[814 117]] , [[814 121]]
[[207 357]] , [[207 361]]
[[837 466]] , [[837 470]]
[[  0 351]] , [[  0 355]]
[[  0 351]] , [[  0 355]]
[[1055  117]] , [[1055  118]]
[[868 116]] , [[867 117]]
[[203 485]] , [[203 489]]
[[154 357]] , [[154 361]]
[[285 552]] , [[285 556]]
[[1021  119]] , [[1021  123]]
[[854 119]] , [[854 123]]
[[758 487]] , [[758 491]]
[[400 487]] , [[400 491]]
[[144 359]] , [[144 363]]
[[120 359]] , [[120 363]]
[[864 121]] , [[864 125]]
[[986 121]] , [[986 125]]
[[909 121]] , [[909 125]]
[[173 357]] , [[173 361]]
[[990 119]] , [[990 123]]
[[419 458]] , [[419 462]]
[[1008  121]] , [[1008  125]]
[[875 119]] , [[875 123]]
[[875 119]] , [[875 123]]
[[189 485]] , [[189 489]]
[[974 121]] , [[974 125]]
[[1004  121]] , [[1004  125]]
[[123 357]] , [[123 361]]
[[974 121]] , [[974 125]]
[[1055  119]] , [[1055  123]]
[[134 357]] , [[134 361]]
[[235 487]] , [[235 488]]
[[344 491]] , [[344 495]]
[[804 489]] , [[804 493]]
[[841 473]] , [[841 477]]
[[149 359]] , [[149 363]]
[[ 22 359]] , [[ 22 363]]
[[363 456]] , [[363 460]]
[[390 351]] , [[390 355]]
[[242 489]] , [[242 493]]
[[816 121]] , [[816 125]]
[[672 489]] , [[672 493]]
[[190 572]] , [[189 573]]
[[128 489]] , [[128 493]]
[[145 462]] , [[145 466]]
[[744 119]] , [[744 123]]
[[186 487]] , [[186 491]]
[[105 486]] , [[105 490]]
[[116 489]] , [[116 493]]
[[ 29 359]] , [[ 29 363]]
[[ 46 359]] , [[ 46 363]]
[[672 119]] , [[672 123]]
[[177 489]] , [[177 493]]
[[110 486]] , [[109 487]]
[[366 494]] , [[366 501]]
[[621 119]] , [[621 123]]
[[960 121]] , [[960 125]]
[[1049  120]] , [[1048  121]]
[[ 82 304]] , [[ 82 308]]
[[189 460]] , [[189 464]]
[[1010  121]] , [[1010  125]]
[[1039  120]] , [[1039  124]]
[[1040  121]] , [[1040  125]]
[[989 121]] , [[989 125]]
[[1073  103]] , [[1073  107]]
