[[312   9]] , [[312  13]]
[[335 120]] , [[335 124]]
[[1076   95]] , [[1073   98]]
[[1062  114]] , [[1062  115]]
[[1076   94]] , [[1075   95]]
[[608 115]] , [[608 119]]
[[606 115]] , [[606 119]]
[[851 301]] , [[851 305]]
[[762 552]] , [[762 556]]
[[517 605]] , [[517 609]]
[[561 491]] , [[561 495]]
[[594 456]] , [[594 460]]
[[410 491]] , [[410 495]]
[[804 483]] , [[803 484]]
[[288 488]] , [[286 490]]
[[377 354]] , [[377 358]]
[[380 489]] , [[380 493]]
[[315 488]] , [[315 492]]
[[277 488]] , [[277 492]]
[[505 451]] , [[505 455]]
[[ 34 357]] , [[ 34 361]]
[[171 355]] , [[170 356]]
[[406 489]] , [[406 493]]
[[253 488]] , [[253 492]]
[[460 488]] , [[460 490]]
[[ 88 475]] , [[ 88 479]]
[[751 552]] , [[751 556]]
[[814 487]] , [[814 491]]
[[615 572]] , [[615 576]]
[[991 118]] , [[990 119]]
[[414 355]] , [[414 359]]
[[ 93 459]] , [[ 92 460]]
[[431 453]] , [[430 454]]
[[205 553]] , [[204 554]]
[[477 489]] , [[477 493]]
[[444 573]] , [[444 577]]
[[303 552]] , [[303 556]]
[[394 574]] , [[394 578]]
[[409 554]] , [[409 558]]
[[484 554]] , [[484 558]]
[[402 490]] , [[402 494]]
[[640 552]] , [[639 553]]
[[635 490]] , [[635 494]]
[[462 491]] , [[462 495]]
[[237 489]] , [[236 490]]
[[557 491]] , [[556 492]]
[[813 460]] , [[813 464]]
[[577 487]] , [[577 491]]
[[601 487]] , [[601 491]]
[[184 572]] , [[184 576]]
[[600 490]] , [[600 494]]
[[757 554]] , [[757 558]]
[[697 572]] , [[697 576]]
[[221 553]] , [[219 555]]
[[301 551]] , [[301 555]]
[[425 571]] , [[425 573]]
[[259 553]] , [[258 554]]
[[618 600]] , [[618 605]]
[[ 80 467]] , [[ 80 471]]
[[235 571]] , [[235 575]]
[[652 488]] , [[652 492]]
[[785 565]] , [[785 568]]
[[796 486]] , [[794 488]]
[[289 551]] , [[289 555]]
[[301 489]] , [[301 493]]
[[610 553]] , [[610 557]]
[[785 565]] , [[785 568]]
[[259 571]] , [[259 572]]
[[914 618]] , [[914 619]]
[[912 620]] , [[912 624]]
[[532 489]] , [[532 493]]
[[299 551]] , [[298 552]]
[[237 488]] , [[237 492]]
[[510 574]] , [[510 578]]
[[596 574]] , [[595 575]]
[[248 553]] , [[248 557]]
[[195 553]] , [[193 555]]
[[229 553]] , [[229 557]]
[[532 489]] , [[532 493]]
[[555 625]] , [[556 624]]
[[913 619]] , [[911 621]]
[[626 621]] , [[627 620]]
[[825 643]] , [[825 647]]
[[507 652]] , [[507 657]]
[[533 636]] , [[533 641]]
[[636 575]] , [[636 579]]
[[540 656]] , [[540 660]]
[[638 656]] , [[638 660]]
[[638 574]] , [[637 575]]
[[373 576]] , [[373 580]]
[[611 556]] , [[611 560]]
[[608 575]] , [[608 576]]
[[342 457]] , [[342 461]]
[[769 489]] , [[769 493]]
[[271 492]] , [[271 496]]
[[245 557]] , [[242 560]]
[[608 495]] , [[608 499]]
[[607 575]] , [[607 579]]
[[189 572]] , [[189 576]]
[[652 574]] , [[650 576]]
[[446 573]] , [[446 577]]
[[713 647]] , [[713 651]]
[[759 633]] , [[758 634]]
[[578 650]] , [[578 655]]
[[205 574]] , [[205 578]]
[[885 639]] , [[884 640]]
[[632 653]] , [[632 657]]
[[885 639]] , [[884 640]]
[[240 556]] , [[239 557]]
[[486 653]] , [[486 657]]
[[909 623]] , [[908 624]]
[[540 661]] , [[539 662]]
[[908 624]] , [[908 625]]
[[548 576]] , [[548 580]]
[[467 576]] , [[467 580]]
[[774 652]] , [[774 657]]
[[771 555]] , [[771 559]]
[[771 555]] , [[771 559]]
[[379 493]] , [[378 494]]
[[274 573]] , [[274 577]]
[[293 553]] , [[290 556]]
[[215 556]] , [[215 560]]
[[222 576]] , [[222 580]]
[[542 656]] , [[542 665]]
[[519 631]] , [[519 635]]
[[906 626]] , [[905 627]]
[[251 576]] , [[251 580]]
[[ 73 609]] , [[ 71 611]]
[[281 553]] , [[280 554]]
[[771 555]] , [[771 559]]
[[762 556]] , [[762 560]]
[[415 551]] , [[414 552]]
[[263 490]] , [[263 494]]
[[286 574]] , [[284 576]]
[[413 551]] , [[412 552]]
[[237 575]] , [[237 579]]
[[350 491]] , [[350 495]]
[[604 642]] , [[604 647]]
[[660 575]] , [[660 579]]
[[630 652]] , [[630 657]]
[[616 575]] , [[616 579]]
[[864 652]] , [[864 657]]
[[693 574]] , [[693 578]]
[[368 668]] , [[368 673]]
[[541 637]] , [[541 641]]
[[532 575]] , [[532 579]]
[[705 633]] , [[703 635]]
[[914 620]] , [[914 621]]
[[399 573]] , [[397 575]]
[[537 576]] , [[537 580]]
[[270 574]] , [[270 578]]
[[493 575]] , [[492 576]]
[[437 574]] , [[437 578]]
[[205 573]] , [[205 577]]
[[437 574]] , [[437 578]]
[[477 576]] , [[477 580]]
[[283 573]] , [[283 577]]
[[534 575]] , [[534 579]]
[[578 575]] , [[578 579]]
[[521 575]] , [[520 576]]
[[120 359]] , [[120 363]]
[[251 455]] , [[250 456]]
[[ 87 358]] , [[ 87 362]]
[[1004  119]] , [[1004  123]]
[[801 488]] , [[801 492]]
[[257 487]] , [[257 489]]
[[208 462]] , [[208 466]]
[[969 122]] , [[969 126]]
[[512 493]] , [[512 497]]
[[669 489]] , [[668 490]]
[[255 455]] , [[254 456]]
[[813 121]] , [[812 122]]
[[687 490]] , [[687 494]]
[[199 459]] , [[199 463]]
[[166 460]] , [[166 464]]
[[688 491]] , [[688 495]]
[[941 122]] , [[941 126]]
[[1061  115]] , [[1061  116]]
[[188 460]] , [[186 462]]
[[613 120]] , [[613 124]]
[[191 489]] , [[190 490]]
[[836 121]] , [[836 125]]
[[269 556]] , [[269 560]]
[[243 555]] , [[241 557]]
[[677 574]] , [[677 578]]
[[557 493]] , [[557 497]]
[[213 555]] , [[212 556]]
[[609 493]] , [[609 497]]
[[ 82 471]] , [[ 82 475]]
[[367 455]] , [[367 459]]
[[129 360]] , [[129 364]]
[[1062  114]] , [[1061  115]]
[[116 487]] , [[116 491]]
[[ 77 360]] , [[ 77 364]]
[[188 460]] , [[187 461]]
[[103 463]] , [[103 467]]
[[217 459]] , [[216 460]]
[[195 459]] , [[193 461]]
[[722 357]] , [[722 361]]
[[1073  101]] , [[1073  105]]
[[884 121]] , [[884 125]]
[[657 120]] , [[657 124]]
[[755 122]] , [[755 126]]
[[ 64 361]] , [[ 64 365]]
[[1042  123]] , [[1042  127]]
[[940 123]] , [[940 127]]
[[879 120]] , [[879 124]]
[[975 121]] , [[974 122]]
[[  1 360]] , [[  1 364]]
[[767 490]] , [[767 494]]
[[1075   99]] , [[1075  100]]
[[852 123]] , [[852 127]]
[[856 125]] , [[856 129]]
[[784 125]] , [[784 129]]
[[698 491]] , [[698 495]]
[[786 125]] , [[786 129]]
[[1024  124]] , [[1022  126]]
[[896 362]] , [[896 366]]
[[888 125]] , [[888 129]]
[[693 495]] , [[692 496]]
[[986 125]] , [[986 129]]
[[ 75 364]] , [[ 75 368]]
[[880 115]] , [[880 119]]
[[ 87 464]] , [[ 87 468]]
[[154 475]] , [[154 479]]
[[347 541]] , [[347 545]]
[[950 111]] , [[950 115]]
[[990 111]] , [[990 115]]
[[887 111]] , [[886 112]]
[[ 98 351]] , [[ 98 355]]
[[764 107]] , [[764 111]]
[[ 57 351]] , [[ 56 352]]
[[ 80 461]] , [[ 80 465]]
[[732 111]] , [[732 115]]
[[801 114]] , [[801 118]]
[[768 107]] , [[768 111]]
[[866 112]] , [[866 116]]
[[866 112]] , [[866 116]]
[[866 112]] , [[866 116]]
[[383 479]] , [[383 483]]
[[ 82 462]] , [[ 82 467]]
[[ 55 351]] , [[ 54 352]]
[[681 112]] , [[681 116]]
[[ 15 350]] , [[ 15 354]]
[[503 343]] , [[503 347]]
[[201 352]] , [[201 356]]
[[976 112]] , [[976 116]]
[[1040  120]] , [[1039  121]]
[[850 121]] , [[850 125]]
[[643 120]] , [[643 124]]
[[ 63 361]] , [[ 63 365]]
[[1063  115]] , [[1063  118]]
[[1032  121]] , [[1032  125]]
[[ 91 459]] , [[ 90 460]]
[[282 491]] , [[282 495]]
[[238 490]] , [[238 494]]
[[174 462]] , [[174 466]]
[[183 459]] , [[183 463]]
[[1057  119]] , [[1057  123]]
[[980 121]] , [[980 125]]
[[195 457]] , [[192 460]]
[[940 121]] , [[940 125]]
[[125 457]] , [[125 461]]
[[315 573]] , [[315 577]]
[[165 561]] , [[165 566]]
[[197 571]] , [[196 572]]
[[313 551]] , [[312 552]]
[[836 460]] , [[836 464]]
[[ 96 485]] , [[ 96 489]]
[[1021  119]] , [[1020  120]]
[[360 846]] , [[360 847]]
[[197 861]] , [[195 863]]
[[195 881]] , [[195 894]]
[[670 903]] , [[670 907]]
[[429 841]] , [[429 845]]
[[753 847]] , [[753 851]]
[[389 876]] , [[389 880]]
[[535 856]] , [[534 857]]
[[610 855]] , [[610 859]]
[[804 893]] , [[804 897]]
[[392 885]] , [[392 888]]
[[634 888]] , [[634 889]]
[[580 855]] , [[580 859]]
[[589 765]] , [[589 769]]
[[164 563]] , [[164 567]]
[[844 670]] , [[844 675]]
[[216 573]] , [[216 577]]
[[733 628]] , [[733 632]]
[[765 552]] , [[765 556]]
[[844 670]] , [[844 671]]
[[562 650]] , [[562 651]]
[[556 573]] , [[556 577]]
[[374 550]] , [[374 554]]
[[553 489]] , [[553 493]]
[[374 550]] , [[374 554]]
[[725 569]] , [[725 573]]
[[534 489]] , [[534 493]]
[[182 571]] , [[182 575]]
[[212 554]] , [[212 558]]
[[728 631]] , [[728 635]]
[[382 573]] , [[382 577]]
[[758 670]] , [[758 677]]
[[437 550]] , [[437 554]]
[[719 485]] , [[719 489]]
[[321 490]] , [[320 491]]
[[107 458]] , [[107 462]]
[[573 572]] , [[573 576]]
[[538 637]] , [[538 641]]
[[473 687]] , [[473 691]]
[[235 674]] , [[235 678]]
[[612 675]] , [[612 677]]
[[417 575]] , [[417 579]]
[[292 575]] , [[292 579]]
[[657 555]] , [[657 559]]
[[219 576]] , [[219 580]]
[[353 573]] , [[353 577]]
[[687 554]] , [[687 558]]
[[304 491]] , [[304 495]]
[[209 573]] , [[209 577]]
[[557 491]] , [[557 495]]
[[575 554]] , [[575 558]]
[[661 489]] , [[661 493]]
[[517 573]] , [[517 577]]
[[509 491]] , [[509 495]]
[[468 575]] , [[468 579]]
[[714 630]] , [[714 634]]
[[708 632]] , [[708 636]]
[[276 571]] , [[276 575]]
[[413 575]] , [[413 579]]
[[257 571]] , [[257 575]]
[[741 662]] , [[741 666]]
[[430 571]] , [[430 575]]
[[708 639]] , [[708 643]]
[[630 572]] , [[629 573]]
[[478 575]] , [[478 579]]
[[562 489]] , [[562 493]]
[[526 654]] , [[526 658]]
[[565 634]] , [[565 641]]
[[620 600]] , [[620 605]]
[[565 634]] , [[565 641]]
[[558 634]] , [[558 641]]
[[797 662]] , [[797 666]]
[[492 694]] , [[492 697]]
[[622 621]] , [[622 625]]
[[814 654]] , [[814 659]]
[[388 575]] , [[388 579]]
[[832 662]] , [[832 666]]
[[493 669]] , [[493 673]]
[[801 644]] , [[801 648]]
[[201 572]] , [[201 576]]
[[442 575]] , [[442 579]]
[[197 572]] , [[197 576]]
[[912 620]] , [[912 624]]
[[508 664]] , [[508 673]]
[[810 695]] , [[811 694]]
[[828 700]] , [[828 705]]
[[647 714]] , [[647 719]]
[[639 717]] , [[639 721]]
[[638 662]] , [[638 667]]
[[426 700]] , [[426 705]]
[[426 700]] , [[426 705]]
[[700 632]] , [[700 633]]
[[610 695]] , [[610 699]]
[[496 577]] , [[496 581]]
[[612 622]] , [[612 627]]
[[567 575]] , [[567 579]]
[[398 578]] , [[397 579]]
[[592 579]] , [[592 583]]
[[409 575]] , [[409 579]]
[[478 577]] , [[478 581]]
[[383 576]] , [[383 580]]
[[582 624]] , [[582 628]]
[[852 664]] , [[850 666]]
[[578 650]] , [[578 655]]
[[797 676]] , [[797 681]]
[[781 654]] , [[781 658]]
[[636 660]] , [[636 665]]
[[518 654]] , [[518 659]]
[[674 696]] , [[674 701]]
[[458 708]] , [[458 709]]
[[814 690]] , [[814 695]]
[[562 666]] , [[562 673]]
[[816 672]] , [[816 675]]
[[828 680]] , [[828 684]]
[[508 684]] , [[508 689]]
[[774 652]] , [[774 657]]
[[610 646]] , [[610 647]]
[[518 644]] , [[518 647]]
[[544 654]] , [[544 655]]
[[686 575]] , [[686 579]]
[[637 575]] , [[637 579]]
[[219 573]] , [[219 577]]
[[458 577]] , [[458 581]]
[[783 562]] , [[783 566]]
[[624 575]] , [[624 579]]
[[543 635]] , [[543 639]]
[[788 709]] , [[788 713]]
[[485 710]] , [[485 714]]
[[688 703]] , [[688 707]]
[[656 684]] , [[656 689]]
[[288 700]] , [[288 704]]
[[542 635]] , [[542 639]]
[[496 600]] , [[496 607]]
[[509 632]] , [[509 636]]
[[199 573]] , [[199 577]]
[[525 575]] , [[525 579]]
[[649 575]] , [[649 579]]
[[568 573]] , [[568 574]]
[[749 632]] , [[749 636]]
[[266 574]] , [[265 575]]
[[656 680]] , [[656 689]]
[[620 664]] , [[620 669]]
[[300 703]] , [[300 707]]
[[656 680]] , [[656 689]]
[[656 700]] , [[656 705]]
[[690 636]] , [[690 640]]
[[368 669]] , [[368 673]]
[[573 670]] , [[573 677]]
[[741 628]] , [[741 632]]
[[574 670]] , [[574 674]]
[[612 680]] , [[612 689]]
[[642 575]] , [[642 579]]
[[612 670]] , [[612 677]]
[[692 640]] , [[692 644]]
[[776 652]] , [[776 656]]
[[692 640]] , [[692 644]]
[[549 575]] , [[549 579]]
[[830 668]] , [[830 673]]
[[574 670]] , [[574 677]]
[[620 575]] , [[620 579]]
[[ 78 619]] , [[ 78 623]]
