[[973 119]] , [[973 123]]
[[1018  116]] , [[1018  120]]
[[814 605]] , [[813 606]]
[[341 840]] , [[362 840]]
[[870 637]] , [[869 638]]
[[158 455]] , [[158 459]]
[[243 551]] , [[243 555]]
[[303 575]] , [[303 579]]
[[702 301]] , [[702 305]]
[[649 116]] , [[649 120]]
[[983 116]] , [[983 120]]
[[1065  107]] , [[1065  108]]
[[871 116]] , [[869 118]]
[[382 354]] , [[382 358]]
[[319 356]] , [[319 360]]
[[567 453]] , [[567 457]]
[[138 356]] , [[138 360]]
[[254 453]] , [[253 454]]
[[677 486]] , [[677 490]]
[[ 84 356]] , [[ 84 360]]
[[ 10 124]] , [[ 10 128]]
[[ 82 303]] , [[ 80 305]]
[[983 120]] , [[981 122]]
[[376 455]] , [[375 456]]
[[864 122]] , [[864 126]]
[[840 475]] , [[839 476]]
[[  0 358]] , [[  0 362]]
[[ 14 358]] , [[ 14 362]]
[[397 356]] , [[397 360]]
[[  8 126]] , [[  8 130]]
[[561 451]] , [[561 455]]
[[338 455]] , [[338 459]]
[[686 488]] , [[686 492]]
[[295 455]] , [[295 459]]
[[523 490]] , [[523 494]]
[[421 491]] , [[421 495]]
[[522 490]] , [[522 494]]
[[139 485]] , [[139 489]]
[[761 487]] , [[760 488]]
[[761 487]] , [[760 488]]
[[228 455]] , [[228 459]]
[[ 54 358]] , [[ 54 362]]
[[229 485]] , [[226 488]]
[[761 487]] , [[760 488]]
[[563 549]] , [[563 553]]
[[576 488]] , [[575 489]]
[[379 491]] , [[379 495]]
[[ 90 477]] , [[ 89 478]]
[[296 571]] , [[296 572]]
[[347 489]] , [[347 493]]
[[159 485]] , [[159 489]]
[[492 490]] , [[491 491]]
[[567 572]] , [[567 576]]
[[832 485]] , [[831 486]]
[[560 507]] , [[559 508]]
[[288 551]] , [[288 552]]
[[366 549]] , [[365 550]]
[[467 490]] , [[467 494]]
[[432 549]] , [[431 550]]
[[716 488]] , [[716 492]]
[[432 549]] , [[432 553]]
[[306 551]] , [[304 553]]
[[417 573]] , [[416 574]]
[[711 488]] , [[711 492]]
[[694 572]] , [[694 576]]
[[476 574]] , [[476 578]]
[[623 622]] , [[624 621]]
[[508 575]] , [[507 576]]
[[476 575]] , [[476 580]]
[[439 573]] , [[439 575]]
[[588 649]] , [[587 650]]
[[304 551]] , [[302 553]]
[[403 492]] , [[403 496]]
[[670 574]] , [[670 575]]
[[688 574]] , [[686 576]]
[[340 457]] , [[340 461]]
[[472 455]] , [[472 459]]
[[201 491]] , [[201 495]]
[[655 494]] , [[655 498]]
[[ 92 482]] , [[ 92 486]]
[[272 490]] , [[272 494]]
[[391 492]] , [[391 496]]
[[128 488]] , [[128 492]]
[[174 570]] , [[174 574]]
[[353 492]] , [[352 493]]
[[173 571]] , [[173 575]]
[[485 576]] , [[485 580]]
[[292 551]] , [[290 553]]
[[603 493]] , [[603 497]]
