[[1022   13]] , [[1022   17]]
[[ 81 471]] , [[ 81 472]]
[[141 464]] , [[141 468]]
[[155 461]] , [[155 465]]
[[ 97 360]] , [[ 97 364]]
[[804 121]] , [[804 125]]
[[735 122]] , [[735 126]]
[[656 120]] , [[656 124]]
[[957 121]] , [[956 122]]
[[1006  123]] , [[1006  127]]
[[192 462]] , [[192 466]]
[[151 357]] , [[151 361]]
[[1004  123]] , [[1004  127]]
[[857 122]] , [[857 126]]
[[735 122]] , [[735 126]]
[[880 121]] , [[880 125]]
[[784 123]] , [[784 127]]
[[103 461]] , [[102 462]]
[[251 491]] , [[251 495]]
[[734 123]] , [[734 127]]
[[ 50 312]] , [[ 50 316]]
[[ 80 363]] , [[ 80 367]]
[[904 125]] , [[904 129]]
[[782 495]] , [[782 499]]
[[904 125]] , [[904 129]]
[[888 125]] , [[888 129]]
[[104 364]] , [[104 368]]
[[943 126]] , [[943 130]]
[[321 498]] , [[321 502]]
[[  6 129]] , [[  6 133]]
[[191 461]] , [[189 463]]
[[1008  117]] , [[1008  121]]
[[1063   99]] , [[1063  100]]
[[1075   83]] , [[1075   84]]
[[128 473]] , [[128 477]]
[[763 475]] , [[763 479]]
[[316 542]] , [[316 546]]
[[898 113]] , [[898 117]]
[[800 113]] , [[800 117]]
[[725 112]] , [[725 116]]
[[135 451]] , [[135 455]]
[[861 111]] , [[860 112]]
[[ 93 453]] , [[ 93 457]]
[[766 107]] , [[766 111]]
[[768 107]] , [[768 111]]
[[768 107]] , [[768 111]]
[[105 477]] , [[105 481]]
[[858 112]] , [[858 116]]
[[ 93 349]] , [[ 93 353]]
[[866 112]] , [[866 116]]
[[1042  112]] , [[1041  113]]
[[1022  112]] , [[1020  114]]
[[1022  112]] , [[1020  114]]
[[611 482]] , [[611 486]]
[[652 477]] , [[652 481]]
[[201 449]] , [[201 453]]
[[978 112]] , [[978 116]]
[[142 350]] , [[140 352]]
[[ 73 350]] , [[ 73 354]]
[[ 92 452]] , [[ 92 457]]
[[1049  113]] , [[1049  117]]
[[ 78 304]] , [[ 78 308]]
[[1006  121]] , [[1006  125]]
[[1031  120]] , [[1031  124]]
[[ 90 460]] , [[ 90 464]]
[[752 121]] , [[752 125]]
[[157 359]] , [[156 360]]
[[153 462]] , [[153 466]]
[[343 551]] , [[343 555]]
[[279 553]] , [[276 556]]
[[245 487]] , [[245 491]]
[[174 462]] , [[174 466]]
[[1044  120]] , [[1043  121]]
[[103 358]] , [[103 362]]
[[ 90 481]] , [[ 90 485]]
[[105 358]] , [[105 362]]
[[193 457]] , [[190 460]]
[[417 573]] , [[414 576]]
[[220 573]] , [[220 577]]
[[315 573]] , [[315 577]]
[[261 553]] , [[259 555]]
[[ 88 477]] , [[ 88 481]]
[[221 487]] , [[221 491]]
[[1040  121]] , [[1040  125]]
[[831 850]] , [[831 854]]
[[737 891]] , [[738 890]]
[[632 892]] , [[632 893]]
[[670 910]] , [[670 914]]
[[723 849]] , [[723 851]]
[[716 851]] , [[716 852]]
[[632 888]] , [[632 889]]
[[734 863]] , [[733 864]]
[[733 863]] , [[733 866]]
[[617 905]] , [[617 906]]
[[189 889]] , [[189 893]]
[[830 893]] , [[830 897]]
[[605 855]] , [[605 859]]
[[590 780]] , [[589 781]]
[[200 573]] , [[200 577]]
[[742 685]] , [[741 686]]
[[509 573]] , [[509 577]]
[[757 632]] , [[757 636]]
[[429 554]] , [[429 558]]
[[533 678]] , [[533 685]]
[[494 655]] , [[494 659]]
[[589 573]] , [[589 577]]
[[633 550]] , [[633 554]]
[[413 550]] , [[413 554]]
[[607 550]] , [[607 554]]
[[189 571]] , [[189 575]]
[[374 550]] , [[374 554]]
[[407 571]] , [[405 573]]
[[725 569]] , [[725 573]]
[[750 637]] , [[750 641]]
[[486 573]] , [[486 577]]
[[830 680]] , [[830 685]]
[[573 550]] , [[573 554]]
[[684 487]] , [[684 491]]
[[437 491]] , [[437 495]]
[[656 458]] , [[656 462]]
[[245 573]] , [[245 577]]
[[541 647]] , [[541 651]]
[[816 692]] , [[816 699]]
[[816 678]] , [[816 683]]
[[821 678]] , [[821 680]]
[[605 575]] , [[605 579]]
[[215 576]] , [[215 580]]
[[191 573]] , [[191 577]]
[[402 577]] , [[402 581]]
[[424 573]] , [[424 577]]
[[268 555]] , [[268 559]]
[[612 552]] , [[612 556]]
[[419 573]] , [[419 574]]
[[646 553]] , [[646 557]]
[[652 554]] , [[652 558]]
[[378 491]] , [[378 495]]
[[621 574]] , [[621 578]]
[[392 514]] , [[392 519]]
[[546 575]] , [[546 579]]
[[769 632]] , [[769 636]]
[[556 637]] , [[556 641]]
[[668 572]] , [[667 573]]
[[920 612]] , [[920 616]]
[[203 572]] , [[203 576]]
[[808 668]] , [[808 673]]
[[203 572]] , [[203 576]]
[[868 650]] , [[868 654]]
[[313 573]] , [[313 577]]
[[218 614]] , [[218 618]]
[[480 491]] , [[480 495]]
[[605 654]] , [[605 658]]
[[750 650]] , [[750 654]]
[[756 630]] , [[756 634]]
[[524 652]] , [[524 656]]
[[524 652]] , [[524 656]]
[[541 667]] , [[541 671]]
[[786 696]] , [[786 697]]
[[676 650]] , [[676 654]]
[[843 662]] , [[843 668]]
[[612 600]] , [[612 605]]
[[817 668]] , [[817 672]]
[[782 682]] , [[782 691]]
[[813 652]] , [[813 658]]
[[415 573]] , [[415 577]]
[[574 575]] , [[574 579]]
[[237 573]] , [[236 574]]
[[542 624]] , [[542 628]]
[[806 682]] , [[806 686]]
[[540 684]] , [[540 688]]
[[493 704]] , [[493 706]]
[[553 716]] , [[553 720]]
[[430 720]] , [[430 724]]
[[781 669]] , [[781 673]]
[[812 700]] , [[812 707]]
[[670 700]] , [[670 705]]
[[796 652]] , [[796 657]]
[[441 700]] , [[441 704]]
[[597 577]] , [[597 581]]
[[682 642]] , [[682 646]]
[[360 576]] , [[359 577]]
[[523 579]] , [[523 583]]
[[610 622]] , [[610 626]]
[[257 576]] , [[257 580]]
[[629 577]] , [[629 581]]
[[582 626]] , [[582 630]]
[[704 630]] , [[704 634]]
[[558 672]] , [[558 676]]
[[500 652]] , [[500 657]]
[[510 682]] , [[510 689]]
[[525 655]] , [[525 659]]
[[852 664]] , [[850 666]]
[[534 661]] , [[534 665]]
[[434 700]] , [[434 705]]
[[668 709]] , [[668 713]]
[[354 696]] , [[354 697]]
[[492 672]] , [[492 679]]
[[306 678]] , [[306 679]]
[[656 685]] , [[656 689]]
[[814 690]] , [[814 695]]
[[516 655]] , [[516 659]]
[[578 650]] , [[578 655]]
[[578 650]] , [[578 655]]
[[634 660]] , [[634 665]]
[[432 577]] , [[432 581]]
[[695 575]] , [[695 579]]
[[573 573]] , [[573 574]]
[[906 626]] , [[906 630]]
[[201 573]] , [[201 577]]
[[686 575]] , [[686 579]]
[[806 652]] , [[806 657]]
[[668 711]] , [[668 715]]
[[397 712]] , [[397 721]]
[[788 709]] , [[788 713]]
[[672 696]] , [[672 699]]
[[374 701]] , [[374 705]]
[[620 650]] , [[620 655]]
[[ 72 610]] , [[ 72 617]]
[[542 635]] , [[542 639]]
[[605 573]] , [[605 577]]
[[649 575]] , [[649 579]]
[[496 600]] , [[496 607]]
[[254 574]] , [[253 575]]
[[545 635]] , [[545 639]]
[[526 574]] , [[525 575]]
[[816 685]] , [[816 689]]
[[604 668]] , [[604 673]]
[[788 709]] , [[788 713]]
[[824 698]] , [[824 703]]
[[436 702]] , [[436 709]]
[[837 654]] , [[837 658]]
[[610 670]] , [[610 671]]
[[624 677]] , [[624 681]]
[[777 634]] , [[777 639]]
[[840 674]] , [[840 678]]
[[332 698]] , [[332 702]]
[[698 636]] , [[698 641]]
[[464 675]] , [[464 679]]
[[550 654]] , [[550 658]]
[[836 654]] , [[836 659]]
[[776 652]] , [[776 656]]
[[649 575]] , [[649 579]]
[[600 674]] , [[600 681]]
[[471 672]] , [[471 677]]
[[910 624]] , [[910 628]]
[[750 628]] , [[750 632]]
[[404 666]] , [[404 671]]
[[670 685]] , [[670 689]]
[[ 48 359]] , [[ 48 363]]
[[157 462]] , [[157 466]]
[[894 121]] , [[894 125]]
[[693 488]] , [[693 492]]
