[[1067  107]] , [[1067  108]]
[[733 596]] , [[733 600]]
[[ 40 301]] , [[ 40 305]]
[[254 490]] , [[254 494]]
[[844 460]] , [[844 464]]
[[478 449]] , [[477 450]]
[[774 352]] , [[774 356]]
[[1067  107]] , [[1067  108]]
[[733 596]] , [[733 600]]
[[ 40 301]] , [[ 40 305]]
[[254 490]] , [[254 494]]
[[844 460]] , [[844 464]]
[[478 449]] , [[477 450]]
[[774 352]] , [[774 356]]
[[829 853]] , [[830 852]]
[[ 732 1018]] , [[ 733 1017]]
[[798 837]] , [[796 839]]
[[ 369 1001]] , [[ 370 1000]]
[[350 837]] , [[349 838]]
[[ 506 1186]] , [[ 507 1185]]
[[ 419 1268]] , [[ 421 1268]]
[[446 933]] , [[446 938]]
[[439 958]] , [[438 959]]
[[184 929]] , [[184 938]]
[[469 858]] , [[469 862]]
[[343 840]] , [[362 840]]
[[622 864]] , [[623 863]]
[[225 620]] , [[225 624]]
[[224 620]] , [[224 624]]
[[397 490]] , [[397 494]]
[[164 559]] , [[163 560]]
[[415 554]] , [[415 558]]
[[620 549]] , [[618 551]]
[[786 554]] , [[786 561]]
[[110 485]] , [[110 490]]
[[374 549]] , [[373 550]]
[[206 485]] , [[205 486]]
[[837 468]] , [[837 472]]
[[559 488]] , [[558 489]]
[[398 549]] , [[398 553]]
[[533 489]] , [[533 493]]
[[702 552]] , [[702 556]]
[[181 570]] , [[181 575]]
[[702 552]] , [[702 556]]
[[608 550]] , [[608 554]]
[[733 627]] , [[733 631]]
[[369 488]] , [[368 489]]
[[146 459]] , [[146 461]]
[[240 487]] , [[239 488]]
[[605 574]] , [[605 578]]
[[710 631]] , [[705 636]]
[[608 613]] , [[607 614]]
[[607 621]] , [[607 625]]
[[479 662]] , [[479 666]]
[[904 627]] , [[901 630]]
[[707 639]] , [[707 645]]
[[533 574]] , [[533 578]]
[[707 641]] , [[707 645]]
[[479 661]] , [[479 665]]
[[707 641]] , [[707 645]]
[[593 692]] , [[594 691]]
[[629 621]] , [[629 625]]
[[778 635]] , [[777 636]]
[[576 623]] , [[575 624]]
[[579 628]] , [[580 627]]
[[788 649]] , [[787 650]]
[[414 658]] , [[414 665]]
[[535 683]] , [[535 690]]
[[526 654]] , [[524 656]]
[[795 705]] , [[796 704]]
[[814 673]] , [[813 674]]
[[787 687]] , [[786 688]]
[[619 698]] , [[620 697]]
[[501 683]] , [[501 684]]
[[759 671]] , [[759 672]]
[[588 658]] , [[589 657]]
[[356 663]] , [[355 664]]
[[822 669]] , [[821 670]]
[[809 683]] , [[809 684]]
[[677 699]] , [[676 700]]
[[471 670]] , [[471 674]]
[[625 683]] , [[625 684]]
[[751 669]] , [[751 673]]
[[533 713]] , [[532 714]]
[[635 689]] , [[637 689]]
[[471 681]] , [[471 690]]
[[836 691]] , [[835 692]]
[[664 734]] , [[665 733]]
[[366 683]] , [[365 684]]
[[453 702]] , [[453 706]]
[[673 717]] , [[674 716]]
[[588 717]] , [[589 716]]
[[568 700]] , [[568 705]]
[[636 713]] , [[635 714]]
[[491 695]] , [[491 698]]
[[636 713]] , [[635 714]]
[[575 714]] , [[576 713]]
[[691 727]] , [[690 728]]
[[536 691]] , [[536 695]]
[[758 722]] , [[757 723]]
[[431 722]] , [[431 728]]
[[700 739]] , [[701 738]]
[[518 767]] , [[521 767]]
[[429 720]] , [[429 724]]
[[524 716]] , [[523 717]]
[[582 748]] , [[583 747]]
[[442 726]] , [[442 735]]
[[638 713]] , [[637 714]]
[[561 738]] , [[562 737]]
[[622 725]] , [[621 726]]
[[567 683]] , [[565 685]]
[[454 672]] , [[453 673]]
[[787 695]] , [[786 696]]
[[472 707]] , [[471 708]]
[[787 693]] , [[786 694]]
[[362 697]] , [[362 701]]
[[484 713]] , [[484 714]]
[[566 682]] , [[567 681]]
[[509 711]] , [[509 712]]
[[350 692]] , [[350 697]]
[[497 718]] , [[498 717]]
[[414 715]] , [[413 716]]
[[482 767]] , [[483 766]]
[[496 701]] , [[495 702]]
[[378 713]] , [[377 714]]
[[505 731]] , [[506 730]]
[[787 686]] , [[787 689]]
[[785 696]] , [[786 695]]
[[526 721]] , [[527 720]]
[[450 705]] , [[451 705]]
[[639 689]] , [[639 700]]
[[324 683]] , [[323 684]]
[[461 712]] , [[462 713]]
[[519 671]] , [[519 680]]
[[472 701]] , [[471 702]]
[[479 712]] , [[480 711]]
[[461 719]] , [[462 718]]
[[479 714]] , [[480 713]]
[[787 686]] , [[787 690]]
[[654 711]] , [[653 712]]
[[799 703]] , [[799 707]]
[[489 668]] , [[489 672]]
[[790 700]] , [[791 699]]
[[790 700]] , [[791 699]]
[[663 667]] , [[661 669]]
[[684 686]] , [[683 687]]
[[570 701]] , [[569 702]]
[[766 713]] , [[766 718]]
[[642 721]] , [[641 722]]
[[382 711]] , [[381 712]]
[[481 714]] , [[482 713]]
[[656 683]] , [[655 684]]
[[339 716]] , [[339 721]]
[[481 714]] , [[482 713]]
[[481 714]] , [[482 713]]
[[790 700]] , [[791 699]]
[[439 699]] , [[439 700]]
[[488 736]] , [[489 735]]
[[770 713]] , [[770 724]]
[[382 711]] , [[381 712]]
[[539 722]] , [[540 721]]
[[668 694]] , [[667 695]]
[[826 697]] , [[825 698]]
[[817 681]] , [[817 682]]
[[476 699]] , [[474 701]]
[[543 697]] , [[541 699]]
[[428 753]] , [[429 752]]
[[390 713]] , [[389 714]]
[[518 717]] , [[517 718]]
[[599 675]] , [[599 680]]
[[521 722]] , [[522 721]]
[[503 677]] , [[503 678]]
[[563 687]] , [[563 688]]
[[513 706]] , [[514 705]]
[[443 711]] , [[443 716]]
[[464 717]] , [[463 718]]
[[501 677]] , [[501 678]]
[[574 707]] , [[573 708]]
[[677 574]] , [[677 578]]
[[353 573]] , [[352 574]]
[[326 551]] , [[325 552]]
[[461 492]] , [[461 496]]
[[380 551]] , [[380 555]]
[[767 653]] , [[767 654]]
[[704 637]] , [[703 638]]
[[690 641]] , [[688 643]]
[[472 554]] , [[472 558]]
[[550 635]] , [[549 636]]
[[907 628]] , [[903 632]]
[[167 565]] , [[167 569]]
[[817 690]] , [[818 689]]
[[688 643]] , [[688 647]]
[[548 633]] , [[548 637]]
[[844 671]] , [[843 672]]
[[824 651]] , [[823 652]]
[[688 643]] , [[687 644]]
[[563 492]] , [[563 496]]
[[310 553]] , [[310 555]]
[[694 575]] , [[693 576]]
[[562 576]] , [[562 580]]
[[646 575]] , [[645 576]]
[[730 629]] , [[730 633]]
[[181 573]] , [[181 577]]
[[561 672]] , [[562 671]]
[[790 687]] , [[790 696]]
[[835 671]] , [[835 677]]
[[630 669]] , [[629 670]]
[[380 681]] , [[379 682]]
[[558 669]] , [[557 670]]
[[670 637]] , [[669 638]]
[[633 575]] , [[632 576]]
[[436 667]] , [[437 666]]
[[491 525]] , [[491 529]]
[[603 628]] , [[604 627]]
[[603 628]] , [[604 627]]
[[434 658]] , [[433 659]]
[[743 556]] , [[743 560]]
[[426 671]] , [[425 672]]
[[560 635]] , [[560 642]]
[[671 575]] , [[670 576]]
[[645 556]] , [[645 560]]
[[632 623]] , [[631 624]]
[[193 575]] , [[193 579]]
[[513 496]] , [[513 500]]
[[381 495]] , [[381 499]]
[[438 495]] , [[437 496]]
[[381 495]] , [[381 499]]
[[340 553]] , [[339 554]]
[[489 495]] , [[489 499]]
[[282 574]] , [[282 578]]
[[340 494]] , [[340 498]]
[[292 555]] , [[291 556]]
[[219 490]] , [[218 491]]
[[525 577]] , [[525 581]]
[[673 684]] , [[669 688]]
[[916 619]] , [[914 621]]
[[561 674]] , [[562 673]]
[[714 631]] , [[711 634]]
[[648 665]] , [[647 666]]
[[477 655]] , [[477 659]]
[[561 674]] , [[562 673]]
[[624 621]] , [[624 623]]
[[918 617]] , [[917 618]]
[[826 651]] , [[826 652]]
[[690 643]] , [[689 644]]
[[661 633]] , [[661 634]]
[[855 661]] , [[855 662]]
[[924 611]] , [[923 612]]
[[677 667]] , [[677 671]]
[[686 576]] , [[685 577]]
[[693 663]] , [[693 670]]
[[624 621]] , [[623 622]]
[[702 639]] , [[701 640]]
[[512 657]] , [[511 658]]
[[592 653]] , [[591 654]]
[[712 633]] , [[709 636]]
[[316 555]] , [[316 559]]
[[391 577]] , [[391 581]]
[[681 556]] , [[681 560]]
[[300 494]] , [[300 498]]
[[363 494]] , [[363 498]]
[[380 496]] , [[380 500]]
[[654 492]] , [[654 496]]
[[350 494]] , [[350 498]]
[[  6 358]] , [[  6 362]]
[[135 489]] , [[135 493]]
[[360 492]] , [[360 496]]
[[139 360]] , [[139 364]]
[[174 461]] , [[173 462]]
[[636 576]] , [[636 580]]
[[597 492]] , [[597 496]]
[[135 492]] , [[135 496]]
[[235 489]] , [[235 491]]
[[596 494]] , [[596 498]]
[[798 489]] , [[798 493]]
[[709 492]] , [[709 496]]
[[205 492]] , [[205 496]]
[[242 492]] , [[242 496]]
[[389 577]] , [[389 581]]
[[170 557]] , [[169 558]]
[[573 577]] , [[573 581]]
[[696 641]] , [[695 642]]
[[534 575]] , [[534 579]]
[[230 557]] , [[228 559]]
[[186 576]] , [[186 580]]
[[718 633]] , [[717 634]]
[[623 580]] , [[623 584]]
[[491 674]] , [[492 673]]
[[475 580]] , [[475 584]]
[[589 651]] , [[589 656]]
[[431 580]] , [[430 581]]
[[510 685]] , [[509 686]]
[[557 657]] , [[557 663]]
[[489 675]] , [[489 676]]
[[561 646]] , [[561 650]]
[[589 652]] , [[589 657]]
[[561 690]] , [[562 689]]
[[607 672]] , [[607 674]]
[[553 657]] , [[553 663]]
[[494 580]] , [[494 584]]
[[737 575]] , [[737 579]]
[[180 572]] , [[180 576]]
[[572 569]] , [[572 573]]
[[634 650]] , [[635 649]]
[[433 546]] , [[433 550]]
[[566 685]] , [[565 686]]
[[301 705]] , [[301 709]]
[[398 721]] , [[397 722]]
[[654 701]] , [[654 705]]
[[659 716]] , [[657 718]]
[[653 684]] , [[653 689]]
[[558 619]] , [[558 624]]
[[630 629]] , [[629 630]]
[[585 631]] , [[585 632]]
[[542 583]] , [[541 584]]
[[562 611]] , [[560 613]]
[[588 621]] , [[587 622]]
[[372 566]] , [[372 570]]
[[503 566]] , [[503 570]]
[[634 564]] , [[632 566]]
[[543 563]] , [[540 566]]
[[559 613]] , [[559 616]]
[[640 627]] , [[639 628]]
[[443 652]] , [[444 651]]
[[554 613]] , [[553 614]]
[[688 564]] , [[688 568]]
[[756 623]] , [[755 624]]
[[204 477]] , [[204 481]]
[[767 480]] , [[767 484]]
[[554 613]] , [[553 614]]
[[687 564]] , [[687 568]]
[[445 647]] , [[445 648]]
[[196 564]] , [[196 568]]
[[906 619]] , [[905 620]]
[[431 484]] , [[431 488]]
[[471 566]] , [[471 570]]
[[710 617]] , [[708 619]]
[[609 566]] , [[609 570]]
[[471 566]] , [[471 570]]
[[554 613]] , [[553 614]]
[[880 633]] , [[879 634]]
[[554 613]] , [[553 614]]
[[691 565]] , [[691 569]]
[[465 546]] , [[465 550]]
[[181 563]] , [[181 567]]
[[748 601]] , [[747 602]]
[[272 543]] , [[270 545]]
[[272 543]] , [[270 545]]
[[206 545]] , [[204 547]]
[[181 563]] , [[181 567]]
[[554 613]] , [[553 614]]
[[496 484]] , [[496 488]]
[[719 477]] , [[719 481]]
[[565 566]] , [[565 570]]
[[274 543]] , [[272 545]]
[[609 566]] , [[609 570]]
[[687 545]] , [[687 549]]
[[222 481]] , [[221 482]]
[[292 484]] , [[292 488]]
[[142 484]] , [[142 488]]
[[305 486]] , [[304 487]]
[[295 487]] , [[295 491]]
[[110 457]] , [[110 461]]
[[239 485]] , [[239 489]]
[[725 485]] , [[725 489]]
[[292 487]] , [[292 492]]
[[683 486]] , [[683 490]]
[[159 486]] , [[159 490]]
[[213 483]] , [[213 488]]
[[ 83 457]] , [[ 82 458]]
[[178 455]] , [[177 456]]
[[ 83 457]] , [[ 82 458]]
[[301 488]] , [[301 492]]
[[286 356]] , [[286 360]]
[[ 82 457]] , [[ 80 459]]
[[ 99 483]] , [[ 99 487]]
[[782 485]] , [[781 486]]
[[762 552]] , [[762 556]]
[[767 486]] , [[767 490]]
[[497 489]] , [[497 493]]
[[292 488]] , [[292 492]]
[[726 623]] , [[725 624]]
[[497 489]] , [[497 493]]
[[238 549]] , [[236 551]]
[[497 489]] , [[497 493]]
[[579 570]] , [[579 574]]
[[460 489]] , [[459 490]]
[[460 489]] , [[459 490]]
[[292 488]] , [[292 492]]
[[559 488]] , [[558 489]]
[[471 488]] , [[471 492]]
[[689 487]] , [[689 491]]
[[559 488]] , [[558 489]]
[[451 489]] , [[451 493]]
[[210 483]] , [[210 487]]
[[511 547]] , [[511 551]]
[[808 460]] , [[808 464]]
[[378 496]] , [[378 500]]
[[642 498]] , [[642 502]]
[[248 499]] , [[248 504]]
[[837 131]] , [[837 135]]
[[923 132]] , [[923 136]]
[[608 130]] , [[608 134]]
[[375 504]] , [[375 508]]
[[135 366]] , [[135 370]]
[[ 73 364]] , [[ 73 368]]
[[358 496]] , [[358 500]]
[[358 494]] , [[358 498]]
[[358 492]] , [[358 496]]
[[505 490]] , [[505 494]]
[[124 486]] , [[124 487]]
[[737 460]] , [[737 464]]
[[315 492]] , [[315 496]]
[[287 491]] , [[287 495]]
[[209 485]] , [[209 487]]
[[261 488]] , [[261 492]]
[[418 549]] , [[418 553]]
[[501 492]] , [[501 496]]
