[[845 301]] , [[844 302]]
[[192 456]] , [[190 458]]
[[703 301]] , [[703 305]]
[[861 117]] , [[860 118]]
[[1067  105]] , [[1067  106]]
[[884 117]] , [[884 121]]
[[797 117]] , [[796 118]]
[[171 355]] , [[171 359]]
[[177 485]] , [[177 486]]
[[ 41 357]] , [[ 40 358]]
[[147 459]] , [[146 460]]
[[ 79 303]] , [[ 79 307]]
[[268 358]] , [[268 362]]
[[831 120]] , [[831 124]]
[[1068  107]] , [[1068  108]]
[[433 453]] , [[432 454]]
[[117 358]] , [[117 362]]
[[ 84 304]] , [[ 84 308]]
[[810 121]] , [[810 125]]
[[886 119]] , [[886 123]]
[[403 356]] , [[403 360]]
[[132 355]] , [[132 359]]
[[419 458]] , [[419 462]]
[[ 92 357]] , [[ 92 361]]
[[ 81 303]] , [[ 81 307]]
[[810 120]] , [[810 124]]
[[859 120]] , [[859 124]]
[[1044  121]] , [[1044  125]]
[[133 355]] , [[133 359]]
[[119 459]] , [[119 463]]
[[161 457]] , [[160 458]]
[[1076   94]] , [[1075   95]]
[[888 119]] , [[888 123]]
[[ 37 358]] , [[ 37 362]]
[[ 76 357]] , [[ 76 361]]
[[1055  119]] , [[1055  123]]
[[888 119]] , [[888 123]]
[[203 457]] , [[203 461]]
[[101 459]] , [[100 460]]
[[243 455]] , [[243 459]]
[[685 488]] , [[685 492]]
[[627 490]] , [[627 494]]
[[145 459]] , [[145 461]]
[[549 452]] , [[549 456]]
[[270 489]] , [[270 493]]
[[254 489]] , [[254 493]]
[[968 121]] , [[968 125]]
[[ 16 359]] , [[ 16 363]]
[[982 119]] , [[982 123]]
[[926 123]] , [[925 124]]
[[908 121]] , [[908 125]]
[[390 351]] , [[390 355]]
[[744 121]] , [[744 125]]
[[131 488]] , [[131 492]]
[[1031  122]] , [[1031  126]]
[[114 462]] , [[114 466]]
[[ 79 466]] , [[ 79 472]]
[[698 488]] , [[696 490]]
[[261 455]] , [[261 459]]
[[ 61 360]] , [[ 61 364]]
[[344 357]] , [[344 361]]
[[367 551]] , [[367 555]]
[[475 453]] , [[475 457]]
[[475 453]] , [[475 457]]
[[548 356]] , [[548 360]]
[[672 489]] , [[672 493]]
[[1058  118]] , [[1055  121]]
[[730 355]] , [[730 359]]
[[119 462]] , [[119 466]]
[[ 77 359]] , [[ 77 363]]
[[144 358]] , [[142 360]]
[[716 355]] , [[716 359]]
[[ 46 359]] , [[ 46 363]]
[[944 121]] , [[944 125]]
[[638 351]] , [[638 355]]
[[749 489]] , [[748 490]]
[[346 455]] , [[346 459]]
[[156 489]] , [[156 493]]
[[1055  119]] , [[1055  120]]
[[279 455]] , [[278 456]]
[[463 492]] , [[463 496]]
[[ 48 359]] , [[ 48 363]]
[[865 120]] , [[865 124]]
[[129 485]] , [[129 489]]
[[109 358]] , [[109 362]]
[[718 355]] , [[718 359]]
[[961 119]] , [[961 123]]
[[747 120]] , [[747 124]]
[[970 121]] , [[970 125]]
[[917 120]] , [[917 124]]
[[716 355]] , [[716 359]]
[[980 121]] , [[980 125]]
[[101 357]] , [[100 358]]
[[1041  120]] , [[1041  124]]
[[ 27 359]] , [[ 27 363]]
[[1059  117]] , [[1059  119]]
[[ 92 308]] , [[ 92 312]]
[[734 601]] , [[734 605]]
[[ 75 306]] , [[ 75 310]]
[[224 487]] , [[224 491]]
[[529 454]] , [[529 458]]
[[846 638]] , [[846 642]]
[[151 459]] , [[151 463]]
[[767 630]] , [[767 634]]
[[810 636]] , [[810 641]]
[[430 493]] , [[430 497]]
[[829 117]] , [[829 121]]
[[365 455]] , [[365 459]]
[[280 351]] , [[280 355]]
[[651 454]] , [[651 458]]
[[1065  105]] , [[1065  106]]
[[457 489]] , [[457 493]]
[[601 458]] , [[601 462]]
[[337 454]] , [[337 458]]
[[ 32 357]] , [[ 32 361]]
[[ 32 357]] , [[ 32 361]]
[[  4 351]] , [[  4 355]]
[[365 489]] , [[365 493]]
[[109 484]] , [[109 488]]
[[751 569]] , [[751 573]]
[[154 357]] , [[154 361]]
[[669 456]] , [[669 460]]
[[646 551]] , [[646 555]]
[[496 546]] , [[496 547]]
[[255 487]] , [[255 491]]
[[833 485]] , [[833 489]]
[[876 119]] , [[876 120]]
[[1067  109]] , [[1067  113]]
[[149 359]] , [[149 363]]
[[852 121]] , [[852 125]]
[[ 38 359]] , [[ 38 363]]
[[ 96 460]] , [[ 96 464]]
[[304 456]] , [[304 460]]
[[100 485]] , [[100 489]]
[[875 119]] , [[875 123]]
[[549 452]] , [[549 456]]
[[1044  121]] , [[1044  125]]
[[805 485]] , [[805 489]]
[[990 119]] , [[990 123]]
[[158 458]] , [[158 462]]
[[873 119]] , [[873 123]]
[[1008  121]] , [[1008  125]]
[[374 458]] , [[374 462]]
[[1044  121]] , [[1044  125]]
[[132 355]] , [[132 359]]
[[1008  121]] , [[1008  125]]
[[ 93 302]] , [[ 93 306]]
[[123 357]] , [[123 361]]
[[571 489]] , [[571 493]]
[[ 36 357]] , [[ 36 361]]
[[160 458]] , [[160 462]]
[[974 121]] , [[974 125]]
[[169 458]] , [[169 462]]
[[191 485]] , [[191 489]]
[[201 456]] , [[201 460]]
[[1075   97]] , [[1075  101]]
[[ 98 460]] , [[ 98 464]]
[[207 485]] , [[207 489]]
[[380 491]] , [[380 495]]
[[705 554]] , [[705 558]]
[[671 571]] , [[671 574]]
[[315 552]] , [[315 556]]
[[194 359]] , [[194 363]]
[[372 491]] , [[372 495]]
[[756 489]] , [[756 493]]
[[1061  115]] , [[1061  119]]
[[227 490]] , [[227 494]]
[[846 121]] , [[846 125]]
[[1017  123]] , [[1017  127]]
[[1065  113]] , [[1065  114]]
[[744 121]] , [[744 125]]
[[105 486]] , [[105 490]]
[[188 458]] , [[186 460]]
[[508 493]] , [[508 497]]
[[176 460]] , [[176 464]]
[[835 474]] , [[835 478]]
[[992 125]] , [[992 129]]
[[777 569]] , [[776 570]]
[[472 575]] , [[472 579]]
[[195 572]] , [[194 573]]
[[173 357]] , [[173 361]]
[[349 456]] , [[349 460]]
[[672 489]] , [[672 493]]
[[280 554]] , [[278 556]]
[[176 460]] , [[174 462]]
[[1008  123]] , [[1008  127]]
[[142 358]] , [[141 359]]
[[144 462]] , [[144 466]]
[[205 556]] , [[205 560]]
[[194 556]] , [[194 560]]
[[771 555]] , [[771 559]]
[[127 487]] , [[127 488]]
[[118 489]] , [[118 493]]
[[1059  117]] , [[1059  118]]
[[907 121]] , [[907 125]]
[[143 359]] , [[143 363]]
[[326 552]] , [[326 556]]
[[288 491]] , [[288 495]]
[[276 574]] , [[275 575]]
[[ 46 359]] , [[ 46 363]]
[[212 458]] , [[212 462]]
[[840 115]] , [[840 119]]
[[256 456]] , [[256 460]]
[[142 358]] , [[141 359]]
[[908 121]] , [[908 125]]
[[785 485]] , [[785 489]]
[[747 489]] , [[747 493]]
[[166 485]] , [[165 486]]
